id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"132169694","Rochdale","Light Industrial","Fieldhouse Industrial Estate, Fieldhouse Road, Rochdale, Greater Manchester, OL12","£252 pcm","From","","","**Flexible short-term contracts** Fieldhouse Industrial Estate is conveniently located ust 3 miles from 20 and 21 of the M62, providing easy access to Leeds, Manchester, and Liverpool. Smithy Bridge train station is also only 1.7 miles away for easy commuting.","https://www.rightmove.co.uk/properties/132169694#/?channel=COM_LET","2023-03-02T14:13:55Z","","size_change","Marketed by Bizspace Limited, London","","53.62873","-2.1548","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132169694/234962_245W_IMG_05_0001_max_476x317.jpeg"
"169890842","Rochdale","Distribution Warehouse","Unit 14-15, Globe House, Rochdale, OL16 5EB","£4,219 pcm","","","","Units 14 and 15 at Globe Park provide 6,328 sq ft of versatile industrial space with excellent M62 connectivity.","https://www.rightmove.co.uk/properties/169890842#/?channel=COM_LET","2025-12-01T16:59:05Z","","new","Marketed by JLL, Manchester - Industrial","","53.60942","-2.138491","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257837/169890842/257837_345494-2_IMG_05_0000_max_476x317.jpeg"
"169881308","Rochdale","Office","Moss Bridge Road, Rochdale, Greater Manchester, OL16","£1,000 pcm","","","","Glass office space located on ground floor, office unit furnished or unfurnished on your demand. Glass panels and glass doors making the unit unique and segregated. You have access to the reception and waiting area for clients. Free on site secured Parking with Fob system. ","https://www.rightmove.co.uk/properties/169881308#/?channel=COM_LET","2025-12-01T15:00:03Z","","new","Marketed by Ping Echo, Rochdale","","53.60844","-2.13735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246122/169881308/246122_mossbridgehouse1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246122/169881308/246122_mossbridgehouse1_IMG_01_0000_max_476x317.jpeg"
"722512567106801","Rochdale","Distribution Warehouse","Healey Mill, Whitworth Road, Rochdale, OL12 0TF","POA","","","","Well established prominent main road fronted commercial premises","https://www.rightmove.co.uk/properties/722512567106801#/?channel=COM_LET","2025-12-01T12:14:05Z","","new","Marketed by B.C Real Estate Limited, Manchester","","53.638099","-2.170157","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722512567106801/254753_307967-2_IMG_08_0000_max_476x317.jpeg"
"722195928752065","Rochdale","Distribution Warehouse","Unit 14-15, Globe House, Rochdale, OL16 5EB","POA","","","","A modern end terrace warehouse unit","https://www.rightmove.co.uk/properties/722195928752065#/?channel=COM_LET","2025-11-29T18:18:15Z","","new","Marketed by B.C Real Estate Limited, Manchester","","53.609736","-2.139948","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722195928752065/254753_345389-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722195928752065/254753_345389-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722195928752065/254753_345389-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722195928752065/254753_345389-2_IMG_03_0000_max_476x317.jpeg"
"719243184747968","Rochdale","Distribution Warehouse","Logic 5, Charles Babbage Avenue, Rochdale, OL16 4NW","POA","","","","A modern single storey warehouse unit located within a 1 minute drive of the M62 motorway","https://www.rightmove.co.uk/properties/719243184747968#/?channel=COM_LET","2025-11-13T11:12:07Z","","size_change","Marketed by B.C Real Estate Limited, Manchester","","53.600543","-2.121542","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243184747968/254753_308679-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243184747968/254753_308679-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243184747968/254753_308679-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243184747968/254753_308679-2_IMG_03_0000_max_476x317.jpeg"
"168298523","Rochdale","Commercial Property","Cheetham Street, Rochdale","£695 pcm","","",""," Available now is this versatile two-floor commercial unit located in the heart of Rochdale, offering an excellent opportunity for a wide range of businesses. The unit is well-presented throughout and benefits from dedicated toilet and kitchen facilities, providing convenience for staff and visi...","https://www.rightmove.co.uk/properties/168298523#/?channel=COM_LET","2025-10-17T11:33:00Z","","price_reduced","Marketed by Martin & Co, Rochdale & Oldham","","53.618801","-2.15715","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58915/168298523/58915_100970005135_IMG_11_0000_max_476x317.jpeg"
"169574603","Rochdale","Commercial Property","TO LET - Healey Mill, Whitworth Road, Rochdale","£12,500 pcm","","","","TO LET - Healey Mill, Whitworth Road, Rochdale Substantial Manufacturing Premises Well established prominent main road fronted commercial premises * 52,600 sq ft approx GIA * Good sized staff car park * Excellent Power Supply * New Lease Available.","https://www.rightmove.co.uk/properties/169574603#/?channel=COM_LET","2025-11-21T13:58:26Z","","new","Marketed by Barton Kendal Residential, Rochdale","","53.637989","-2.17126","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169574603/19110_12710325_IMG_13_0000_max_476x317.jpeg"
"169449842","Rochdale","Commercial Property","Allen Street, Newbold, Rochdale","£600 pcm","","","","Keystone are pleased to present this superb first-floor commercial property available to rent in the heart of Newbold. The premises comprise a spacious, well-proportioned room that can be let either individually or together with the onsite machinery, off","https://www.rightmove.co.uk/properties/169449842#/?channel=COM_LET","2025-11-18T14:33:05Z","","new","Marketed by Keystone, Rochdale","","53.608822","-2.146702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449842/294455_294455_43048_IMG_07_0000_max_476x317.jpeg"
"169449827","Rochdale","Commercial Property","Allen Street, Newbold, Rochdale","£600 pcm","","","","Keystone are pleased to present this superb first-floor commercial property available to rent in the heart of Newbold. The premises comprise a spacious, well-proportioned room that can be let either individually or together with the onsite machinery, off","https://www.rightmove.co.uk/properties/169449827#/?channel=COM_LET","2025-11-18T14:33:02Z","","new","Marketed by Keystone, Rochdale","","53.608822","-2.146702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294455/169449827/294455_294455_43035_IMG_06_0000_max_476x317.jpeg"
