id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169135493","Rochford","Light Industrial","11 Rose Way","£1,958 pcm","","","","Hair & Son is offering to the market this Industrial Unit located in Rose Way within Purdeys Industrial Estate, Rochford. The premises benefits from an office to the front, 2 x W/C's additional office/storage area and main warehouse to the rear totalling 1,743 SQ.FT (162 SQ.M) of manufacturin...","https://www.rightmove.co.uk/properties/169135493#/?channel=COM_LET","2025-11-07T16:58:56Z","","new","Marketed by Hair & Son, Commercial","","51.57577","0.7166","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_08_0000_max_476x317.jpeg"
"169768601","Rochford","Light Industrial","Rochford","£1,000 pcm","Fixed Price","","","To let we have brand new commercial units on a secure site in Rochford. The site is located within close proximity of Southend airport and the A127 (3.7 miles by car). The unit measure 810 square feet and lend them selves to storage or small workshops. ","https://www.rightmove.co.uk/properties/169768601#/?channel=COM_LET","2025-11-27T10:20:03Z","","new","Marketed by Whirledge and Nott, Commercial","","51.59522","0.72354","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169768601/173735_4762_IMG_05_0000_max_476x317.jpeg"
"169752446","Rochford","Office","Aviation Way, Southend-on-sea, SS2","£1,042 pcm","","","","Office To Let – High-Quality Serviced Office, Ryan House, Southend-on-Sea","https://www.rightmove.co.uk/properties/169752446#/?channel=COM_LET","2025-11-26T17:23:43Z","","price_reduced","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.573323","0.687397","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752446/258737_RX687349_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752446/258737_RX687349_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752446/258737_RX687349_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752446/258737_RX687349_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752446/258737_RX687349_IMG_04_0000_max_476x317.jpeg"
"169752407","Rochford","Office","Aviation Way, Southend-on-sea, SS2","£1,146 pcm","","","","Office To Let – High-Quality Serviced Office, Ryan House, Southend-on-Sea","https://www.rightmove.co.uk/properties/169752407#/?channel=COM_LET","2025-11-26T17:23:09Z","","new","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.57331","0.687453","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752407/258737_RX687413_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752407/258737_RX687413_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752407/258737_RX687413_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752407/258737_RX687413_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169752407/258737_RX687413_IMG_04_0000_max_476x317.jpeg"
"169668632","Rochford","Office","34 West Street, Rochford, Essex, SS4","£795 pcm","","","","Delightful office suite at Connaught House, inclusive of internet, phone, and utilities. This front office offers a scenic view overlooking the Town Square with a blend of historic charm and modern amenities. 270 sq.ft of space accessed via a secure smartphone entrance.","https://www.rightmove.co.uk/properties/169668632#/?channel=COM_LET","2025-11-24T17:57:01Z","","size_change","Marketed by ADSI (Holdings) Ltd, Essex Offices","","51.58232","0.70588","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248063/169668632/248063_CONN2DEC_IMG_07_0000_max_476x317.jpeg"
"153385106","Rochford","Office","Connaught House, 34 West Street, Rochford, Essex, SS4","POA","","","","Connaught House is a Grade II Listed building offering office suites and serviced offices to let in Rochford Town Square. The building features original architectural elements with modern amenities, including high-speed broadband, comfort cooling, and perimeter trunking. Offices are refurbished...","https://www.rightmove.co.uk/properties/153385106#/?channel=COM_LET","2024-10-04T15:41:50Z","","size_change","Marketed by Kemsley LLP, Basildon","","51.582397","0.705967","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/153385106/264509_8905980LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/153385106/264509_8905980LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/153385106/264509_8905980LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/153385106/264509_8905980LH_IMG_03_0000_max_476x317.jpeg"
"169355141","Rochford","Warehouse","Barn Meadows, Little Stambridge Hall Lane, Rochford, SS4 1EW","£2,083 pcm","","","","Industrial unit with durable steel frames, electric roller shutter doors, kitchen and toilet facilities.","https://www.rightmove.co.uk/properties/169355141#/?channel=COM_LET","2025-11-14T15:45:09Z","","new","Marketed by Ayers & Cruiks, Southend","","51.598072","0.724156","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169355141/213308_332229-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169355141/213308_332229-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169355141/213308_332229-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169355141/213308_332229-2_IMG_04_0000_max_476x317.jpeg"
"169287923","Rochford","Warehouse","18 Robert Leonard Industrial Estate, Aviation Way, Southend-on-Sea, SS2 6GG","£1,167 pcm","","","","Mid-terraced industrial unit featuring roller shutter loading door, allocated parking, W.C facilities and a maximum eaves heights of 5.34m.","https://www.rightmove.co.uk/properties/169287923#/?channel=COM_LET","2025-11-12T17:47:01Z","","new","Marketed by Ayers & Cruiks, Southend","","51.572601","0.684803","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169287923/213308_332339-2_IMG_12_0000_max_476x317.jpeg"
"169135493","Rochford","Light Industrial","11 Rose Way","£1,958 pcm","","","","Hair & Son is offering to the market this Industrial Unit located in Rose Way within Purdeys Industrial Estate, Rochford. The premises benefits from an office to the front, 2 x W/C's additional office/storage area and main warehouse to the rear totalling 1,743 SQ.FT (162 SQ.M) of manufacturin...","https://www.rightmove.co.uk/properties/169135493#/?channel=COM_LET","2025-11-07T16:58:56Z","","new","Marketed by Hair & Son, Commercial","","51.57577","0.7166","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169135493/193013_101353018977_IMG_08_0000_max_476x317.jpeg"
"167250662","Rochford","Office","34 West Street, Rochford, Essex, SS4","POA","","","","Serviced office suites located in Grade II Listed Connaught House situated in a prominent position on Rochford Town Square. Rates include Hi-Speed Internet and telephone line plus all services.","https://www.rightmove.co.uk/properties/167250662#/?channel=COM_LET","2025-09-22T10:43:00Z","","size_change","Marketed by Glenny, Essex","","51.582403","0.705995","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167250662/66660_39572LH_IMG_05_0000_max_476x317.jpeg"
