id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169924490","Rushmoor","Office","Beaumont House, Auchinleck Way, Aldershot, GU11 1WT","£18,538 pcm","","","","14,830 sq. ft.","14830","14830","1378","1378","A truly exceptional freehold office building of singular character","https://www.rightmove.co.uk/properties/169924490#/?channel=COM_LET","2025-12-02T15:14:24Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.248536","-0.777666","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924490/297368_228743-2_IMG_09_0000_max_476x317.jpeg"
"169924037","Rushmoor","Warehouse","Stableford House, Sebastapol Road, Aldershot, GU11 1SG","£1,833 pcm","","","","2,243 sq. ft.","2243","2243","208","208","Flexible warehouse building located in Aldershot town centre with first-floor office / storage","https://www.rightmove.co.uk/properties/169924037#/?channel=COM_LET","2025-12-02T15:07:53Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.249248","-0.759844","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924037/297368_288330-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924037/297368_288330-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924037/297368_288330-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924037/297368_288330-2_IMG_03_0000_max_476x317.jpeg"
"167009477","Rushmoor","Commercial Property","Ash Road, Aldershot","£1,000 pcm","","","","","","","","","Securely gated with off-road parking for two vehicles, these versatile premises offers a range of options and comprises: Four lock up units Internal office and kitchen facilities Two WCs The space is ideal for storage or for running a small business. Our client...","https://www.rightmove.co.uk/properties/167009477#/?channel=COM_LET","2025-09-15T15:41:26Z","","price_reduced","Marketed by Fosters Estate Agents, Aldershot","","51.242099","-0.743568","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167009477/60642_34174060_IMG_09_0000_max_476x317.jpeg"
"167066237","Rushmoor","Commercial Property","Ash Road, Aldershot","£800 pcm","","","","","","","","","Offered for let is this secure yard, with a separate office comprising of 2 rooms and a WC. Floorplans and further details coming soon. To register your interest please email us.","https://www.rightmove.co.uk/properties/167066237#/?channel=COM_LET","2025-09-16T17:20:38Z","","price_reduced","Marketed by Fosters Estate Agents, Aldershot","","51.242076","-0.743444","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167066237/60642_34177687_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167066237/60642_34177687_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167066237/60642_34177687_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60642/167066237/60642_34177687_IMG_03_0000_max_476x317.jpeg"
"168464801","Rushmoor","Office","Suite 8, Wesley Chambers, Queens Road, Aldershot, Hampshire, GU11","£833 pcm","","","","1,045 sq. ft.","1045","1045","97","97","Comprises self-contained office unit. Benefits from 1 private car parking space. ","https://www.rightmove.co.uk/properties/168464801#/?channel=COM_LET","2025-10-22T18:21:12Z","","price_reduced","Marketed by Blue Alpine, London","","51.2481","-0.76893","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168464801/230087_suite8office_IMG_08_0000_max_476x317.jpeg"
"721781520974016","Rushmoor","Light Industrial","Unit 19, Cavendish Mews, Grosvenor, Aldershot, GU11 3EH","POA","","","","1,980 sq. ft.","1980","1980","184","184","Suitable for light storage and Industrial with first floor offices.","https://www.rightmove.co.uk/properties/721781520974016#/?channel=COM_LET","2025-11-27T11:55:08Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Farnborough","","51.246436","-0.763264","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781520974016/282653_318844-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781520974016/282653_318844-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781520974016/282653_318844-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781520974016/282653_318844-2_IMG_03_0000_max_476x317.jpeg"
"152093528","Rushmoor","Distribution Warehouse","Christy Estate, Aldershot, Hampshire, GU12","POA","","","","24,200 sq. ft.","24200","24200","2248","2248","Prominent Warehouse / Industrial Unit in an Established Industrial Location. Unit 3 is a industrial/warehouse unit set on a total site of approx. 1.25 acres. The building features a two-storey office block at the front elevation with warehouse behind. The building has two yards at either end of ...","https://www.rightmove.co.uk/properties/152093528#/?channel=COM_LET","2024-09-05T16:45:09Z","","size_change","Marketed by Knight Frank, Logistics and Industrial - Commercial","","51.247523","-0.73843","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/152093528/155477_LIC012460105_IMG_00_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/152093528/155477_LIC012460105_IMG_01_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/152093528/155477_LIC012460105_IMG_02_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/152093528/155477_LIC012460105_IMG_03_0016_max_476x317.jpeg"
"721781449789760","Rushmoor","Light Industrial","Building 4, Holly Bush Lane Industrial Estate, Holly Bush Lane, Ash Vale, GU11 2PX","£4,839 pcm","","","","5,836 sq. ft.","5836","5836","542","542","End of Terrace Industrial / Storage Unit","https://www.rightmove.co.uk/properties/721781449789760#/?channel=COM_LET","2025-11-27T11:52:08Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Farnborough","","51.261978","-0.73368","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781449789760/282653_302205-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781449789760/282653_302205-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781449789760/282653_302205-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721781449789760/282653_302205-2_IMG_03_0000_max_476x317.jpeg"
"721781250364321","Rushmoor","Mixed Use","Unit 3, Christy Estate, Ivy Road, Aldershot, GU12 4TX","POA","","","","22,310–23,730 sq. ft.","22310","23730","2073","2205","Detached Warehouse/Production Building. To Be Refurbished.","https://www.rightmove.co.uk/properties/721781250364321#/?channel=COM_LET","2025-11-27T11:51:08Z","","size_change","Marketed by Hurst Warne & Partners Surveyors Limited, Guildford","","51.247714","-0.738389","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781250364321/282641_213029-2_IMG_08_0000_max_476x317.jpeg"
"721780927601969","Rushmoor","Mixed Use","2A Eastern Road, Aldershot, GU12 4TD","POA","","","","11,579 sq. ft.","11579","11579","1076","1076","Industrial / Warehouse Premises with Secure Yard","https://www.rightmove.co.uk/properties/721780927601969#/?channel=COM_LET","2025-11-27T11:38:06Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Farnborough","","51.248879","-0.739476","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282653/721780927601969/282653_11325-2_IMG_05_0000_max_476x317.jpeg"
