id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"118615586","Sandwell","Warehouse","Prime Park, Hamstead Road, Birmingham, B42","POA","","","","New energy efficient industrial/warehouse and trade units to let. Completion anticipated Q1 2024.","https://www.rightmove.co.uk/properties/118615586#/?channel=COM_LET","2022-01-12T09:17:20Z","","size_change","Marketed by KWB, Birmingham","","52.52999","-1.92832","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96407/118615586/96407_PrimePark_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96407/118615586/96407_PrimePark_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96407/118615586/96407_PrimePark_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96407/118615586/96407_PrimePark_IMG_03_0000_max_476x317.jpeg"
"169946528","Sandwell","Retail Property (high street)","Bearwood Road, Smethwick, West Midlands, B66","£795 pcm","","","","Commercial premises located on Bearwood busy high street, with easy access from Birmingham City Centre, The High Street comprises of offices, retail leisure and residential with Subway, Greggs, Barclays, Argos, Bars and restaurants, The premises comprises of a ground floor office space...","https://www.rightmove.co.uk/properties/169946528#/?channel=COM_LET","2025-12-03T10:11:25Z","","new","Marketed by Royal Estates Commercial, Nationwide","","52.4794","-1.97007","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_06_0000_max_476x317.jpeg"
"169933547","Sandwell","Retail Property (high street)","Unit 12 Park Regis, 1 Islington Row Middleway, Birmingham, B15 1LD","£2,500 pcm","","","","High Visibility, Dual Fronted Retail/Leisure Unit with Large Openings, Open Plan Area and Versatile Upper Floor Suited to a Range of Uses","https://www.rightmove.co.uk/properties/169933547#/?channel=COM_LET","2025-12-02T17:25:22Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.472702","-1.917325","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_06_0000_max_476x317.jpeg"
"154161749","Sandwell","Retail Property (high street)","Dudley Port Business Centre, Tipton, DY4 7RQ","£2,100 pcm","From","","","Dudley Port Retail Centre is strategically located in Tipton. All units have been refurbished and feature pedestrian door access. ","https://www.rightmove.co.uk/properties/154161749#/?channel=COM_LET","2024-10-24T14:29:19Z","","size_change","Marketed by Mileway Real Estate UK Limited, Birmingham","","52.5204","-2.0558","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85177/154161749/85177_537mpxtapBTiklRFMkZ6Tv_IMG_07_0000_max_476x317.jpeg"
"169878110","Sandwell","Retail Property (high street)","Three Shires Oak Road, Smethwick","£833 pcm","","","","TO LET - Ground floor lock-up shop with wide sales frontage. Suitable for a number of retail/business uses. Well established trading position close to Bearwood High Street. EPC = C (57).","https://www.rightmove.co.uk/properties/169878110#/?channel=COM_LET","2025-12-01T13:48:17Z","","new","Marketed by Scriven & Co, Quinton","","52.477149","-1.970443","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169878110/35621_34334033_IMG_05_0000_max_476x317.jpeg"
"169826759","Sandwell","Light Industrial","Fisher Street, Tipton, West Midlands, DY4","£1,668 pcm","","","1","4 Week rent free period offeredIdeal for start-ups, growing trades, established business or satellite operations, excellent location in the heart of Dudley.","https://www.rightmove.co.uk/properties/169826759#/?channel=COM_LET","2025-11-28T15:23:53Z","","new","Marketed by Sandringham Investments, Sandringham Investments","","52.51939","-2.05817","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169826759/73710_13ff_IMG_09_0000_max_476x317.jpeg"
"169825100","Sandwell","Serviced Office","- Cobalt Square - Hagley Road, Birmingham, B16","£320 pcm","From","","","Cobalt Square offers high-quality, newly refurbished serviced office spaces in Edgbaston, Birmingham. The building comes in modern design and is well located with excellent connectivity to the national motorway network, the city centre, and a 5 min walk from Five Ways train station.","https://www.rightmove.co.uk/properties/169825100#/?channel=COM_LET","2025-11-28T14:58:04Z","","size_change","Marketed by MCR Property Group, Manchester","","52.47245","-1.92267","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825100/203852_CobaltSquareNov28C_IMG_09_0000_max_476x317.jpeg"
"169825040","Sandwell","Office","- Cobalt Square - Hagley Road, Birmingham, B16","£1,433 pcm","From","","","Cobalt Square offers high-quality, newly refurbished full floor office spaces in Edgbaston, Birmingham. The building comes in modern design and is well located with excellent connectivity to the national motorway network, the city centre, and a 5 min walk from Five Ways train station.","https://www.rightmove.co.uk/properties/169825040#/?channel=COM_LET","2025-11-28T14:57:07Z","","size_change","Marketed by MCR Property Group, Manchester","","52.47245","-1.92267","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169825040/203852_CobaltSquareNov28A_IMG_09_0000_max_476x317.jpeg"
"169775378","Sandwell","Office","5 , Lombard Street, West Bromwich, B70 8RT","POA","","","","5 Lombard Street comprises a part-five part-six storey office building with a car park to the rear. The ground floor provides a reception and office space. The first, second and third floors all provide large open-plan floor plates with smaller offices created with demountable partitioning. Ad...","https://www.rightmove.co.uk/properties/169775378#/?channel=COM_LET","2025-11-27T11:58:44Z","","new","Marketed by Lambert Smith Hampton, Birmingham","","52.520927","-1.996237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182504/169775378/182504_2081756LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182504/169775378/182504_2081756LH_IMG_01_0000_max_476x317.jpeg"
"168067346","Sandwell","Retail Property (high street)","College Road, Birmingham, B20","£1,000 pcm","","1","","Principal Homes are pleased to offer this well-proportioned commercial premises, ideally situated on a busy main road. All enquiries and viewing arrangements strictly via the agent.","https://www.rightmove.co.uk/properties/168067346#/?channel=COM_LET","2025-10-10T10:09:38Z","","price_reduced","Marketed by Principal Homes, Birmingham","","52.5139","-1.93468","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cb69ca110/168067346/cb69ca1106eafd4886dccb3dbb5fe858_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cebd3a4ad/168067346/cebd3a4ada85d4f07632c96aafa3051d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/11da0bc84/168067346/11da0bc840f6990042762037725efddb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b310ebd35/168067346/b310ebd357ba76fd106a37e97385c065_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ed56f0163/168067346/ed56f0163aa74f794926c487edd07829_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/86b0d7b1f/168067346/86b0d7b1f3a69d8ac897ecdf2375f7a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/98a6e1b95/168067346/98a6e1b9551204d3ead795eb0773a51b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/37cad3aba/168067346/37cad3abaa04e3ca5947f8626e068dff_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7e75cb780/168067346/7e75cb780d7da6569e450851f60f128e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c39a32cad/168067346/c39a32cad826d58818e2b62f05927e45_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/40076605d/168067346/40076605d8a38f42b673a04007dec6b4_max_476x317.jpeg"
