id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"87187932","Shropshire","Warehouse","Units 13-16, Centurion Park, Shrewsbury, SY1 4EH","£1,303 pcm","","","","Attractive terrace of trade counter / warehouse units with generous parking facilities.","https://www.rightmove.co.uk/properties/87187932#/?channel=COM_LET","2025-07-10T11:23:43Z","","new","Marketed by Towler Shaw Roberts, Shrewsbury","","52.733984","-2.729818","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166235/87187932/166235_308015-2_IMG_00_0000_max_476x317.jpeg"
"169952216","Shropshire","Retail Property (high street)","High Street, Wem, Shrewsbury, Shropshire","£500 pcm","","","1","Summary: A spacious ground-floor retail unit on Wem High Street, offering excellent visibility with a large 7m+ window frontage. The shop includes fitted cabinets, a rear utility area, and a WC. Available immediately on a 3-year lease at £500pcm with a 3-month deposit. Ideal for a variety of ret...","https://www.rightmove.co.uk/properties/169952216#/?channel=COM_LET","2025-12-03T11:39:02Z","","new","Marketed by Welch Estate Agents, Shrewsbury","","52.855591","-2.723991","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291248/169952216/291248_YFJ-82234049_IMG_06_0000_max_476x317.jpeg"
"169915262","Shropshire","Office","Suites E & F, Hermes House, Oxon Business Park, Shrewsbury, SY3 5HJ","£1,833 pcm","From","","","High quality office accomodation","https://www.rightmove.co.uk/properties/169915262#/?channel=COM_LET","2025-12-02T12:52:00Z","","new","Marketed by Halls Commercial, Shrewsbury","","52.714836","-2.798083","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169915262/59304_335730-2_IMG_08_0000_max_476x317.jpeg"
"169892792","Shropshire","Restaurant","Albert & Co Fairground  Southwater Square, Southwater Way  Telford  TF3 4BF","£3,333 pcm","","","","Fully Fitted Restaurant / Bar | Albert & Co Fairground, Southwater Square, Telford | Lease Assignment Available","https://www.rightmove.co.uk/properties/169892792#/?channel=COM_LET","2025-12-01T17:30:18Z","","new","Marketed by Colliers International, Licensed & Leisure","","52.67316","-2.446892","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257501/169892792/257501_a03N100000b6pNXIAY_IMG_00_0000_max_476x317.jpeg"
"169885823","Shropshire","Commercial Property","Livery Yard, Meashill Farm, TF11","POA","","","","Livery Yard Premises To Let ","https://www.rightmove.co.uk/properties/169885823#/?channel=COM_LET","2025-12-01T15:46:50Z","","new","Marketed by WLT Commercial, Telford","","52.6717","-2.26188","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885823/292100_LYMF_IMG_04_0000_max_476x317.jpeg"
"169885538","Shropshire","Storage","Commercial Storage, Meashill Farm, TF11","£500 pcm","From","","","Commercial Storage Premises To Let ","https://www.rightmove.co.uk/properties/169885538#/?channel=COM_LET","2025-12-01T15:43:36Z","","new","Marketed by WLT Commercial, Telford","","52.67229","-2.26202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885538/292100_MFCS_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885538/292100_MFCS_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885538/292100_MFCS_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169885538/292100_MFCS_IMG_02_0000_max_476x317.jpeg"
"169868252","Shropshire","Office","First Floor Lancaster House, Lancaster Road, Shrewsbury, SY1 3LG","£1,417 pcm","","","","To Let- Versatile First Floor Office Space","https://www.rightmove.co.uk/properties/169868252#/?channel=COM_LET","2025-12-01T12:13:24Z","","new","Marketed by Halls Commercial, Shrewsbury","","52.734739","-2.735923","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59304/169868252/59304_338341-2_IMG_06_0000_max_476x317.jpeg"
"169862012","Shropshire","Light Industrial","Premises at 2 The Garage, Coalmoor Road, Telford, Shropshire, TF6","£2,000 pcm","","","","Semi-detached workshop premises extending to 2,389 sq ft (222 sq m) Plus adjoining lean-to store of 688 sq ft (64 sq m) Self-contained site including secure yard of approximately 0.2 acresAdjacent to other commercial users","https://www.rightmove.co.uk/properties/169862012#/?channel=COM_LET","2025-12-01T12:01:05Z","","new","Marketed by Andrew Dixon & Company, Telford","","52.66026","-2.50391","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6709d135a/169862012/6709d135ac26ba3b4d717557a8450bd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2770f37c7/169862012/2770f37c75bcf91a8f78e518e57d33ba_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/178fc2318/169862012/178fc231874b0509796604a18a58f3b4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df29b2d84/169862012/df29b2d84a2caf1b7b15c0ddec2313e4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/81ecf001d/169862012/81ecf001d6cb79f39bf0eb8f598d18a8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d8f47dcad/169862012/d8f47dcad220e9cb5de39e2b565be299_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b255b5135/169862012/b255b5135ddcedf1f297e35dd3759855_max_476x317.jpeg"
"721597237921265","Shropshire","Office","Ground Floor Offices, Grange Court, Sitka Drive, Shrewsbury, SY2 6LG","£7,508 pcm","","","","Ground floor office suite(s) to let within one of the most prominent modern office buildings on Shrewsbury Business Park","https://www.rightmove.co.uk/properties/721597237921265#/?channel=COM_LET","2025-11-26T11:00:05Z","","price_reduced","Marketed by Cooper Green Pooks, Shrewsbury","","52.691899","-2.716171","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597237921265/251861_317011-2_IMG_07_0000_max_476x317.jpeg"
"721597170813697","Shropshire","Office","The Spruce Building, Sitka Drive, Shrewsbury, SY2 6LG","£4,183 pcm","","","","Modern detached office building to let on Shrewsbury's premier business park.","https://www.rightmove.co.uk/properties/721597170813697#/?channel=COM_LET","2025-11-26T11:00:10Z","","price_reduced","Marketed by Cooper Green Pooks, Shrewsbury","","52.692432","-2.716739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251861/721597170813697/251861_180840-2_IMG_07_0000_max_476x317.jpeg"
