id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168320213","Solihull","Office","High Street, Solihull, West Midlands, B91","£800 pcm","From","","","Newly Refurbished and Fitted office/surgery spaces","https://www.rightmove.co.uk/properties/168320213#/?channel=COM_LET","2025-10-17T16:21:56Z","","new","Marketed by Five Homes, Solihull","","52.41351","-1.77906","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_01_0000_max_476x317.jpeg"
"722869405885089","Solihull","Office","751 Warwick Road, Solihull, B91 3DQ","£49,500 pcm","","","","Approved planning for a new full height entrance, reconfigured core and additional floor with terrace creating 25,000 sq ft of Grade A offic","https://www.rightmove.co.uk/properties/722869405885089#/?channel=COM_LET","2025-12-03T11:55:08Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.414923","-1.773439","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869405885089/250754_112275-2_IMG_00_0000_max_476x317.jpeg"
"721780029899904","Solihull","Office","31 Homer Road, Solihull, B91 3LT","£20,586 pcm","","","","A premium building in a prime location","https://www.rightmove.co.uk/properties/721780029899904#/?channel=COM_LET","2025-11-27T11:27:10Z","","new","Marketed by Newmark, Offices - Birmingham","","52.412816","-1.783782","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721780029899904/284171_273197-2_IMG_09_0000_max_476x317.jpeg"
"721779977456784","Solihull","Office","Air, 35 Homer Road, Solihull, B91 3QJ","£30,962 pcm","","","","An exceptional landmark within the Solihull town centre with 2 suites remaining for immediate occupation","https://www.rightmove.co.uk/properties/721779977456784#/?channel=COM_LET","2025-11-27T11:26:06Z","","new","Marketed by Newmark, Offices - Birmingham","","52.412234","-1.782704","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284171/721779977456784/284171_273165-2_IMG_09_0000_max_476x317.jpeg"
"169456919","Solihull","Office","Ground And First Floors,, 4 The Courtyard, 707 Warwick Road, Solihull, West Midlands, B91 3DA","POA","","","","This property occupies the ground and first floors of an attractive three-storey building within a popular courtyard development, offering four modern, open-plan office suites across two wings. The space benefits from high-quality specifications, including suspended ceilings, carpeted floors with...","https://www.rightmove.co.uk/properties/169456919#/?channel=COM_LET","2025-11-18T16:19:56Z","","new","Marketed by Burley Browne, Sutton Coldfield","","52.415138","-1.77678","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/169456919/109673_8185LH_IMG_11_0000_max_476x317.jpeg"
"156043769","Solihull","Office","2nd Floor, Marlborough House, 679 Warwick Road, Solihull, B91 3DA","£875 pcm","","","","Fully Refurbished Town Centre Offices with Excellent Transport Links.","https://www.rightmove.co.uk/properties/156043769#/?channel=COM_LET","2024-12-18T10:40:53Z","","size_change","Marketed by SHEPHERD COMMERCIAL, Solihull","","52.415123","-1.776787","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264659/156043769/264659_233366-2_IMG_04_0000_max_476x317.jpeg"
"151850354","Solihull","Office","31 Homer Road, Solihull, B91 3LT","POA","","","","Premium office building in a prime Solihull business location opposite Waitrose and near to Solihull Station, High Street and Touchwood.","https://www.rightmove.co.uk/properties/151850354#/?channel=COM_LET","2024-09-06T09:53:38Z","","size_change","Marketed by JLL, Birmingham - Office","","52.412857","-1.783796","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263630/151850354/263630_119624-2_IMG_13_0000_max_476x317.jpeg"
"148219427","Solihull","Office","Virginia House, 56 Warwick Road, Solihull","£2,269 pcm","","","","Location Virginia House is prominently located fronting the A41, Warwick Road, with access to a rear car park off Brookvale Road. The A41 provides direct access to central Birmingham, approximately 6 miles to the north and to Solihull, approximately 3 miles to the south. Motorway access is provi...","https://www.rightmove.co.uk/properties/148219427#/?channel=COM_LET","2024-05-21T10:25:30Z","","size_change","Marketed by KWB, Birmingham","","52.441738","-1.811954","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239030/148219427/239030_286_IMG_05_0000_max_476x317.jpeg"
"168320213","Solihull","Office","High Street, Solihull, West Midlands, B91","£800 pcm","From","","","Newly Refurbished and Fitted office/surgery spaces","https://www.rightmove.co.uk/properties/168320213#/?channel=COM_LET","2025-10-17T16:21:56Z","","new","Marketed by Five Homes, Solihull","","52.41351","-1.77906","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295835/168320213/295835_HighStreet_IMG_01_0000_max_476x317.jpeg"
"148466609","Solihull","Office","Air, 35 Homer Road, Solihull, B91 3QJ","£11,597 pcm","","","","Refurbished Grade A offices to let in Solihull – 15,714 sq ft with EV parking, fitness studio, roof terrace, and WiredScore Platinum.","https://www.rightmove.co.uk/properties/148466609#/?channel=COM_LET","2024-05-28T14:33:54Z","","size_change","Marketed by Avison Young (UK) Limited, Offices","","52.412258","-1.782844","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/148466609/56478_211815-2_IMG_25_0000_max_476x317.jpeg"
