id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"164844005","Somerset","Pub","Mason's Arms Lower Odcombe, BA22","£4,233 pcm","From","6","","This beautiful village pub benefits from 6 high quality en-suite letting rooms, a campsite and a bespoke Shepherd's Hut. The Mason's Arms is a great opportunity for a passionate, experienced operator to run a stunning pub in the heart of a village community","https://www.rightmove.co.uk/properties/164844005#/?channel=COM_LET","2025-07-23T11:20:08Z","","new","Marketed by Hall and Woodhouse, Dorset","","50.93928","-2.69932","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285494/164844005/285494_MASONSARMS_IMG_17_0000_max_476x317.jpeg"
"169932539","Somerset","Commercial Property","4 Palace Yard Mews, Bath, Bath And North East Somerset, BA1 2NH","£3,250 pcm","","","","Three storey office building situated a short distance from the Charlotte Street car park and the city centre.","https://www.rightmove.co.uk/properties/169932539#/?channel=COM_LET","2025-12-02T17:08:19Z","","new","Marketed by Cooper and Tanner, Cooper and Tanner Commercial","","51.383007","-2.365177","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169932539/207494_33155LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169932539/207494_33155LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169932539/207494_33155LH_IMG_02_0000_max_476x317.jpeg"
"169910177","Somerset","Light Industrial","Tarnock, Axbridge, Somerset. BS26 2SL","£1,458 pcm","","","","Spacious commercial unit to let 2310 sq ft (214sqm) in secure yard. AVAILABLE NOW. Suitable for storage/workshop etc. 1 and 3 phase electric. Conveniently located just off A38 between approximately 3 miles from M5 junction 22. Various lease options available.","https://www.rightmove.co.uk/properties/169910177#/?channel=COM_LET","2025-12-02T11:30:12Z","","new","Marketed by Farrons, Winscombe","","51.268239","-2.894065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48639/169910177/48639_PRA10074_IMG_08_0000_max_476x317.jpeg"
"169879763","Somerset","Light Industrial","Oxford Road, Pen Mill Trading Estate, Yeovil, Somerset, BA21 5HR","£2,500 pcm","","","","Versatile detached business unit providing two full height bays of industrial / storage accommodation with rear roller shutter doors, ground floor front office and kitchen and WC facilities and a mezzanine area above providing two further offices and storage. The building benefits from a large fr...","https://www.rightmove.co.uk/properties/169879763#/?channel=COM_LET","2025-12-01T14:13:50Z","","new","Marketed by GTH, Yeovil","","50.951969","-2.60554","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879763/193142_2126LH_IMG_06_0000_max_476x317.jpeg"
"158518727","Somerset","Office","Macrae Road, BS20","£2,110 pcm","","","","The property is located in Eden Office Park near Pill. Eden Office Park benefits from easy access to the M5 motorway network via Easton in Gordano, as well as being a short distance from Bristol City Centre and Avonmouth.","https://www.rightmove.co.uk/properties/158518727#/?channel=COM_LET","2025-02-20T17:06:09Z","","size_change","Marketed by Bladen Property Consultants, Bristol","","51.47841","-2.67528","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_02_0000_max_476x317.jpeg"
"169836728","Somerset","Office","Ground Floor, 4 Rivermead Court , Windmill Road, Kenn, Clevedon, Somerset, BS21","£6,250 pcm","","","","4 Rivermead Court comprises a ground floor open plan office, of approximately 5,309 sq ft (493.22 sq m) NIA of high quality office accommodation. The property benefits from a kitchenette, meeting rooms, disabled, male and female W.C facilities, a shower, bike rack and 21 car parking spaces. The ...","https://www.rightmove.co.uk/properties/169836728#/?channel=COM_LET","2025-11-28T17:52:16Z","","new","Marketed by Burston Cook, Burston Cook","","51.42194","-2.849513","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_06_0000_max_476x317.jpeg"
"169834115","Somerset","Office","Mendip Road, Rooksbridge, Axbridge, Somerset, BS26","£417 pcm","","","","David Plaister are delighted to offer this commercial property TO LET. The property comprises a well-balanced mix of office space, offering flexibility for a range of business operations. This property further offers a kitchen, unisex bathrooms ample outside parking space. Provid...","https://www.rightmove.co.uk/properties/169834115#/?channel=COM_LET","2025-11-28T17:00:25Z","","new","Marketed by David Plaister Limited, Commercial","","51.268637","-2.916019","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280265/169834115/280265_DPO250741_L_IMG_30_0000_max_476x317.jpeg"
"142327307","Somerset","Light Industrial","Lowmoor Industrial Estate, Wellington, Somerset, TA21","£1,458 pcm","","","","Semi-detached industrial unit located on the edge of Wellington. G.I.A of 372.37 sq m (4,008 sq ft). Warehouse, office, store and kitchen. Toilet to be constructed. Concrete Yard to front with parking for 6/8 vehicles. Popular industrial estate 4 miles from J26 of the M5 motorway. ","https://www.rightmove.co.uk/properties/142327307#/?channel=COM_LET","2023-11-23T09:05:27Z","","new","Marketed by Carter Jonas LLP - Taunton, Taunton","","50.99057","-3.24431","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/142327307/220103_5aLowmoor_IMG_05_0000_max_476x317.jpeg"
"169830440","Somerset","Light Industrial","Barns Close, Dulverton, Somerset, TA22","£650 pcm","","","1","900 sq ft Light Industrial / Warehouse Unit - Barns Close, Dulverton TA22 9EA","https://www.rightmove.co.uk/properties/169830440#/?channel=COM_LET","2025-11-28T16:17:51Z","","new","Marketed by Sandringham Investments, Sandringham Investments","","51.0372","-3.5433","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73710/169830440/73710_barn750_IMG_06_0000_max_476x317.jpeg"
"169830698","Somerset","Retail Property (high street)","24 Broad Street, Bath, Bath And North East Somerset, BA1 5LW","POA","","","","The property comprises a ground floor lock up unit forming part of a larger four storey, Grade II listed end-terrace building. The property benefits from a double shop frontage onto Broad Street and an additional shop window to the side of the property, currently serving the rear unit. Internal...","https://www.rightmove.co.uk/properties/169830698#/?channel=COM_LET","2025-11-28T16:15:29Z","","new","Marketed by CSquared, Bath","","51.384621","-2.360304","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169830698/174275_2561LH_IMG_05_0000_max_476x317.jpeg"
