id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"100313996","South Ayrshire","Office","Arthur Street, Ayr, Ayrshire, KA7","POA","","","","FULLY REFURBISHED OFFICES WITH LIFT ACCESS IN AYR TOWN CENTRE, EXCELLENT LOCATION NEXT TO TOWN CENTRE SHOPPING, PUBLIC TRANSPORT LINKS AND CAR PARKING, VARIOUS SUITES AVAILABLE FROM 170 SQFT TO 4,500 SQFT, HIGHLY COMPETITIVE RENTS & FLEXIBLE TERMS, VIEWING RECOMMENDED","https://www.rightmove.co.uk/properties/100313996#/?channel=COM_LET","2020-11-24T11:59:15Z","","new","Marketed by DM Hall, Glasgow","","55.46198","-4.63167","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_18_0000_max_476x317.jpeg"
"169503815","South Ayrshire","Commercial Property","1 Boat Vennal, Ayr, KA7","POA","","","","?Loudoun Hall? is located on Boat Vennal, in the heart of Ayr town centre a short distance from its junction with the north end of High Street, New Bridge Street and Sandgate. There is public car parking adjacent to the property, accessed off South Harbour Street with partial outlook on to River ...","https://www.rightmove.co.uk/properties/169503815#/?channel=COM_LET","2025-11-19T17:07:29Z","","new","Marketed by DM Hall, Glasgow","","55.465035","-4.632768","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbfdeff74/169503815/fbfdeff74f852284ec777489c822b6cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbfdeff74/169503815/fbfdeff74f852284ec777489c822b6cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cfb5898f/169503815/6cfb5898f49a6a4b7776a932df5c6f3b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3151bffd/169503815/d3151bffd3038c7729dcd31c90f6f811_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3bf78c6fe/169503815/3bf78c6fed2e97fa06bbd7eece4ac4c6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/72d01db99/169503815/72d01db99d7c762dee3606885aa9bc86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cf1e6337/169503815/6cf1e6337a16037f51d6d3386ea107c9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db441ab9a/169503815/db441ab9ae9325ecb982572ace8fe8d4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2e485d7ad/169503815/2e485d7ad4818f51fb4ffc4eba346d6f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fd4b9c5b8/169503815/fd4b9c5b83bd52ebcebc17f281ce2d38_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2326497c0/169503815/2326497c082ef60e5154ff36953e8947_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ea9a0dbb9/169503815/ea9a0dbb98bd7d7eb4bac3ccf18ad1d1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/20939575c/169503815/20939575cb83684050a16043cc8ccff2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b0c01712/169503815/5b0c01712b27c343c14b472f43d064ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/368b6cd10/169503815/368b6cd1082d6c35c87b3e6df4dc0065_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/50145238e/169503815/50145238e64997f3ba9d3a357cd2790e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ecedce5d/169503815/8ecedce5d38848aa2281687ce946a80e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e5e777d88/169503815/e5e777d882a0a5021bc121c6780eccec_max_476x317.jpeg"
"155903699","South Ayrshire","Office","Wellington Square, Ayr, Ayrshire, KA7","£700 pcm","","","","The offices have been substantially refurbished and are centrally located in Ayr town centre and spread across four floors. The listed building has lots to offer, including 12 offices, close proximity to the beach, parking, video entry and many more useful facilities.","https://www.rightmove.co.uk/properties/155903699#/?channel=COM_LET","2024-12-12T16:55:44Z","","new","Marketed by JONICK WEXFORD LIMITED, Ayrshire","","55.46071","-4.63633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/accd698a4/155903699/accd698a415692fce9a590b4c3eaecc7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f9de8a327/155903699/f9de8a3275b2e9d109b978982ff2da68_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0cac885aa/155903699/0cac885aae8a040b6b782e60f65a0c51_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dfb6f1090/155903699/dfb6f10901b47c5f7249097abecff63a_max_476x317.jpeg"
"169296806","South Ayrshire","Office","27-29 Crown Street, Ayr, KA8","£400 pcm","","","","Crown Street is a main road route in the popular North Harbour area of Ayr, an established commercial and business location a short distance north of Ayr town centre. There is good public transport access nearby including bus routes and train services in Ayr and Newton on Ayr. The local area has ...","https://www.rightmove.co.uk/properties/169296806#/?channel=COM_LET","2025-11-13T11:46:43Z","","new","Marketed by DM Hall, Glasgow","","55.468292","-4.633326","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169296806/145094_WSA2907_IMG_05_0000_max_476x317.jpeg"
"169186505","South Ayrshire","Retail Property (high street)","22 Queens Court Sandgate, Ayr, KA7","£625 pcm","Offers Over","","","Queens Court occupies a prominent position on the east side of Sandgate at its junction with the niche retailing street of Newmarket Street in Ayr town centre. There is on street and public car parking nearby. Royal Bank of Scotland is locate...","https://www.rightmove.co.uk/properties/169186505#/?channel=COM_LET","2025-11-10T14:25:52Z","","new","Marketed by DM Hall, Glasgow","","55.463211","-4.633034","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186505/145094_WSA2822B-2_IMG_10_0000_max_476x317.jpeg"
"169186268","South Ayrshire","Office","4 Queens Court, Sandgate, Ayr, KA7","£791 pcm","Offers Over","","","Queens Court occupies a prominent position on the east side of Sandgate at its junction with the niche retailing street of Newmarket Street in Ayr town centre. There is on street and public car parking nearby. Royal Bank of Scotland is located opposite Queens Court with the local area characte...","https://www.rightmove.co.uk/properties/169186268#/?channel=COM_LET","2025-11-10T14:22:08Z","","new","Marketed by DM Hall, Glasgow","","55.463296","-4.632768","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169186268/145094_WSA2852B-2_IMG_15_0000_max_476x317.jpeg"
"122921861","South Ayrshire","Retail Property (high street)","Templehill, Troon, Ayrshire, KA10","£2,000 pcm","","","","Deceptively large 2,500sq feet prominent retail unit situated in the heart of Troon. Magnificent unit with lots of potential, window displays, partial refurb into office space.","https://www.rightmove.co.uk/properties/122921861#/?channel=COM_LET","2022-05-02T16:41:51Z","","new","Marketed by JC Roxburgh Properties Ltd., Troon","","55.54431","-4.6658","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36623/122921861/36623_COMMJMK_IMG_29_0000_max_476x317.jpeg"
"158411675","South Ayrshire","Retail Property (high street)","100 Main Street, Ayr, KA8","£550 pcm","","","","Main Street is a busy commercial location to the north of Ayr Town Centre, with the property located opposite its junction with Crown Street, a main  road entering the North Harbour Industrial Estate.   Ayr is the largest town in South Ayrshire region having a population of around 46,0...","https://www.rightmove.co.uk/properties/158411675#/?channel=COM_LET","2025-02-18T16:30:14Z","","price_reduced","Marketed by DM Hall, Glasgow","","55.46807","-4.629566","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/158411675/145094_WSA2521_IMG_00_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/158411675/145094_WSA2521_IMG_01_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/158411675/145094_WSA2521_IMG_02_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/158411675/145094_WSA2521_IMG_03_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/158411675/145094_WSA2521_IMG_04_0005_max_476x317.jpeg"
"155871314","South Ayrshire","Office","Templehill, Troon, Ayrshire, KA10","£433 pcm","","","","Office Space to Let - Newly Refurbished in the Heart of TroonDiscover the perfect setting for your business at 45 Templehill Troon! We are delighted to offer a selection of newly refurbished, modern rooms to let, tailor-made for start-ups and small businesses seeking a prime location.","https://www.rightmove.co.uk/properties/155871314#/?channel=COM_LET","2024-12-11T16:36:38Z","","price_reduced","Marketed by JONICK WEXFORD LIMITED, Ayrshire","","55.54418","-4.66712","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276818/155871314/276818_45Templehill_IMG_08_0001_max_476x317.jpeg"
"164063045","South Ayrshire","Retail Property (high street)","Unit 17, 203 High Street, Ayr, KA7","£1,333 pcm","","","","The property occupies a prominent position in a central retailing location on High Street, in Ayr town centre, at the entrance of the former Kyle Centre Shopping Centre, which will soon to be refurbished and available to occupiers. Nearby occupiers include Bon Marche, Tui, Edinburgh Woollen Mill,...","https://www.rightmove.co.uk/properties/164063045#/?channel=COM_LET","2025-07-02T12:46:32Z","","size_change","Marketed by DM Hall, Glasgow","","55.461027","-4.628877","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/164063045/145094_WSA2841_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/164063045/145094_WSA2841_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/164063045/145094_WSA2841_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/164063045/145094_WSA2841_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/164063045/145094_WSA2841_IMG_04_0004_max_476x317.jpeg"
