id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"722868076290048","South Lanarkshire","Commercial Property","10 Broompark Road, Blantyre, Glasgow, G72 0DR","£3,333 pcm","","","","Prominent commercial premises suitable for a variety of uses","https://www.rightmove.co.uk/properties/722868076290048#/?channel=COM_LET","2025-12-03T11:45:07Z","","new","Marketed by G M Brown, Glasgow","","55.786076","-4.100971","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/722868076290048/243653_338406-2_IMG_00_0000_max_476x317.jpeg"
"722856300784096","South Lanarkshire","Light Industrial","Warehouse 1, 8 Ashton Road, Glasgow, G73 1UB","£10,000 pcm","","","","Standalone industrial premises just 2.5 miles from Glasgow City Centre","https://www.rightmove.co.uk/properties/722856300784096#/?channel=COM_LET","2025-12-03T09:46:03Z","","new","Marketed by G M Brown, Glasgow","","55.83345","-4.215798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/722856300784096/243653_345652-2_IMG_00_0000_max_476x317.png"
"721601302106688","South Lanarkshire","Office","Unit 1 Cadzow Park, 82 Muir Street, Hamilton, ML3 6BJ","£3,333 pcm","","","","Modern office accommodation with parking located within Hamilton Town Centre","https://www.rightmove.co.uk/properties/721601302106688#/?channel=COM_LET","2025-11-26T11:46:07Z","","price_reduced","Marketed by G M Brown, Glasgow","","55.778998","-4.036327","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601302106688/243653_336321-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601302106688/243653_336321-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601302106688/243653_336321-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601302106688/243653_336321-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601302106688/243653_336321-2_IMG_04_0000_max_476x317.jpeg"
"721600614241936","South Lanarkshire","Light Industrial","Carron Place, Kelvin Industrial Estate, East Kilbride, G75 0YL","£1,583 pcm","","","","Light industrial / workshop units located within the popular Kelvin Industrial Estate of East Kilbride.","https://www.rightmove.co.uk/properties/721600614241936#/?channel=COM_LET","2025-11-26T11:36:06Z","","price_reduced","Marketed by G M Brown, Glasgow","","55.746758","-4.16945","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_25_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600614241936/243653_84859-2_IMG_29_0001_max_476x317.jpeg"
"160342445","South Lanarkshire","Office","Red Tree Magenta, 270 Glasgow Road, Rutherglen, Glasgow, Scotland, G73 1UZ","£13,531 pcm","From","","","Located at the northern end of the Park, the buildings benefit from a campus setting, overlooking both Richmond Park and the River Clyde. The 2nd floor suite offers modern office accommodation with fit out, ready for immediate occupation.","https://www.rightmove.co.uk/properties/160342445#/?channel=COM_LET","2025-04-07T12:11:46Z","","size_change","Marketed by Ryden LLP, Glasgow","","55.836845","-4.226194","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342445/287999_4074LH_IMG_07_0001_max_476x317.jpeg"
"92202275","South Lanarkshire","Heavy Industrial","Glasgow Road, Glasgow, G73","£1,488 pcm","From","","","Glasgow Road Industrial Estate offers a range of modern and versatile industrial units in a well-established commercial location on the south side of Glasgow. The estate provides a mix of warehouse, trade counter, and light industrial accommodation suitable for a wide variety of businesses.","https://www.rightmove.co.uk/properties/92202275#/?channel=COM_LET","2020-05-13T16:11:22Z","","size_change","Marketed by Spectrum Properties (Scotland) Ltd, Glasgow","","55.83566","-4.22565","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109348/92202275/109348_SHAWF_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109348/92202275/109348_SHAWF_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109348/92202275/109348_SHAWF_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109348/92202275/109348_SHAWF_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109348/92202275/109348_SHAWF_IMG_05_0000_max_476x317.jpeg"
"721601239286768","South Lanarkshire","Light Industrial","1  3 Rennie Place, College Milton Ind Estate, East Kilbride, G74 5HD","£10,000 pcm","","","","Standalone industrial premises under full refurbishment located within the popular College Milton Industrial Estate of East Kilbride","https://www.rightmove.co.uk/properties/721601239286768#/?channel=COM_LET","2025-11-26T11:46:05Z","","new","Marketed by G M Brown, Glasgow","","55.77123","-4.210798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601239286768/243653_330941-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601239286768/243653_330941-2_IMG_01_0000_max_476x317.jpeg"
"721601038029825","South Lanarkshire","Mixed Use","36 Milton Road, College Milton Industrial Estate, East Kilbride, G74 5BU","£2,917 pcm","","","","Well-presented industrial premises located within the popular College Milton Industrial Estate of East Kilbride","https://www.rightmove.co.uk/properties/721601038029825#/?channel=COM_LET","2025-11-26T11:46:04Z","","new","Marketed by G M Brown, Glasgow","","55.766659","-4.213502","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601038029825/243653_292955-2_IMG_08_0000_max_476x317.jpeg"
"721600857513025","South Lanarkshire","Office","Colonsay House, G S O Business Park, East Kilbride, G74 5PG","£6,101 pcm","","","","High quality open plan office space located within G S O Business Park accessible by train and various bus routes.","https://www.rightmove.co.uk/properties/721600857513025#/?channel=COM_LET","2025-11-26T11:40:12Z","","new","Marketed by G M Brown, Glasgow","","55.770332","-4.229672","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600857513025/243653_229877-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600857513025/243653_229877-2_IMG_01_0000_max_476x317.jpeg"
"721600895422800","South Lanarkshire","Office","Princes Gate, 5 Castle Street, Hamilton, ML3 6BU","£7,364 pcm","","","","Modern open plan office accommodation located within Hamilton town centre.","https://www.rightmove.co.uk/properties/721600895422800#/?channel=COM_LET","2025-11-26T11:40:06Z","","new","Marketed by G M Brown, Glasgow","","55.776884","-4.03305","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600895422800/243653_233806-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600895422800/243653_233806-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600895422800/243653_233806-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600895422800/243653_233806-2_IMG_03_0000_max_476x317.jpeg"
