id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"132157850","South Yorkshire","Serviced Office","Dinnington Business Centre, Outgang Lane, Rotherham, South Yorkshire, S25","£257 pcm","From","","","200–10,070 sq. ft.","200","10070","19","936","**Flexible short-term contracts** Dinnington Business Centre is conveniently located only 5 minutes drive away from both the M1 motorway and Dinnington town centre. Besides the local shops, Meadowhall Shopping Mall, one of Europe's largest malls, is only 15 minutes' drive away.","https://www.rightmove.co.uk/properties/132157850#/?channel=COM_LET","2023-03-02T11:06:56Z","","size_change","Marketed by Bizspace Limited, London","","53.37522","-1.21729","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234962/132157850/234962_241O_IMG_06_0000_max_476x317.jpeg"
"723056329482497","South Yorkshire","Retail Property (high street)","Unit 2 Danum House, Doncaster, DN1 1UB","POA","","","","6,250 sq. ft.","6250","6250","581","581","Retail Unit to Let in Doncaster","https://www.rightmove.co.uk/properties/723056329482497#/?channel=COM_LET","2025-12-04T14:54:39Z","","new","Marketed by Savills, Leeds - Retail","","53.521996","-1.135914","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/723056329482497/251261_300997-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/723056329482497/251261_300997-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/723056329482497/251261_300997-2_IMG_02_0000_max_476x317.jpeg"
"723053684869024","South Yorkshire","Light Industrial","Phase 2, Gateway 36, M1 Junction 36, Barnsley, S74 0FP","POA","","","","66,000–280,500 sq. ft.","66000","280500","6132","26059","GRADE A BUILD TO SUIT INDUSTRIAL AND LOGISTICS UNITS","https://www.rightmove.co.uk/properties/723053684869024#/?channel=COM_LET","2025-12-04T14:20:05Z","","new","Marketed by Savills, Leeds Industrial","","53.49529","-1.450127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214115/723053684869024/214115_230355-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214115/723053684869024/214115_230355-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214115/723053684869024/214115_230355-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214115/723053684869024/214115_230355-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214115/723053684869024/214115_230355-2_IMG_04_0000_max_476x317.jpeg"
"723053003397297","South Yorkshire","Retail Property (high street)","Unit 3 Danum House, 14-16 Printing Office Street, Doncaster, DN1 1UB","POA","","","","1,322–2,741 sq. ft.","1322","2741","123","255","Retail Unit to Let","https://www.rightmove.co.uk/properties/723053003397297#/?channel=COM_LET","2025-12-04T14:13:06Z","","new","Marketed by Savills, Leeds - Retail","","53.522157","-1.135779","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/723053003397297/251261_208755-2_IMG_00_0000_max_476x317.png"
"164338220","South Yorkshire","Office","Brinsworth Street, Rotherham, South Yorkshire, S60","£588 pcm","","","","830 sq. ft.","830","830","77","77","Private office in modern business centre. Flexible terms from 1 month, 24/7 access, 1Gb fibre, secure gated site with CCTV, parking, private kitchen & WC. Minutes from town centre, opposite AESSEAL New York Stadium. Enquire today.","https://www.rightmove.co.uk/properties/164338220#/?channel=COM_LET","2025-07-09T09:40:39Z","","size_change","Marketed by SCA Self Storage Ltd, Rotherham","","53.42848","-1.3639","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52c6c917f/164338220/52c6c917fe14966e8e3690fb0c6cb624_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db4c48bfd/164338220/db4c48bfd494ebd9c53faa66f3905041_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/42744ca14/164338220/42744ca14793d754042ca2c19257ad36_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e35a03d29/164338220/e35a03d2948411a13f4e0531210aae90_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b3bb11355/164338220/b3bb11355069053f481c13fb46f00ffa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9d6416251/164338220/9d64162510fc22b6eb5f18a89d4304b8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de2870a42/164338220/de2870a4236bc5702d204282f0dbe0f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eb96f1481/164338220/eb96f148192e3e06bd059b81e2dbdf8b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7e5c6bf40/164338220/7e5c6bf40f1a170f41c3d7eeadb1c11e_max_476x317.jpeg"
"162050741","South Yorkshire","Retail Property (Retail Park)","Brinsworth Street, Rotherham, South Yorkshire, S60","£688 pcm","","","","500 sq. ft.","500","500","46","46","575 sq. ft. retail/office unit with private entrance, toilet, kitchenette & security grills. Opposite Aesseal New York Stadium, close to town centre & M1. All-inclusive rate, 24/7 access, parking & on-site storage. Available now.","https://www.rightmove.co.uk/properties/162050741#/?channel=COM_LET","2025-05-16T14:31:30Z","","size_change","Marketed by SCA Self Storage Ltd, Rotherham","","53.42848","-1.3639","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162050741/289829_101_IMG_12_0000_max_476x317.jpeg"
"168753857","South Yorkshire","Industrial Park","Fall Bank Industrial Estate, Barnsley, South Yorkshire, S75","£2,269 pcm","","1","","2,723–8,260 sq. ft.","2723","8260","253","767","The property is located on Fall Bank Crescent within the established Fall Bank Industrial Estate, Dodworth. Just one mile from M1 Junction 37, it offers excellent access to Sheffield, Leeds, and Doncaster. A multi-let estate with forecourts and shared service yards in a key logistics hub.","https://www.rightmove.co.uk/properties/168753857#/?channel=COM_LET","2025-10-29T15:45:06Z","","price_reduced","Marketed by Tandem Investments Limited, Stockport","","53.54524","-1.53485","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292289/168753857/292289_Fallbank_IMG_40_0000_max_476x317.jpeg"
"167646683","South Yorkshire","Warehouse","Brinsworth Street, Rotherham, South Yorkshire, S60","£6,942 pcm","","","","11,900 sq. ft.","11900","11900","1106","1106","11,900 sq ft modern warehouse/light industrial unit in prime Rotherham location near New York Stadium. High-spec, secure, energy-efficient space with fibre and solar. Flexible terms from 1 month, for up to 2 years. Available now.","https://www.rightmove.co.uk/properties/167646683#/?channel=COM_LET","2025-10-01T09:37:14Z","","size_change","Marketed by SCA Self Storage Ltd, Rotherham","","53.4285","-1.36396","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/167646683/289829_108_IMG_07_0000_max_476x317.png"
"162044954","South Yorkshire","Commercial Property","Brinsworth Street, Rotherham, South Yorkshire, S60","£408 pcm","","","","350–650 sq. ft.","350","650","33","60","Modern 350-650 sq ft warehouse/light industrial units in prime Rotherham location near New York Stadium. High-spec, secure space with fibre and solar, available on flexible terms from 1 month.","https://www.rightmove.co.uk/properties/162044954#/?channel=COM_LET","2025-05-16T14:13:52Z","","size_change","Marketed by SCA Self Storage Ltd, Rotherham","","53.4285","-1.36396","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289829/162044954/289829_100_IMG_03_0000_max_476x317.png"
"168837383","South Yorkshire","Storage","Savile Street, Sheffield, S4","£325 pcm","From","","1","250 sq. ft.","250","250","23","23","Workshop and storage units available in Sheffield city centre. Clean, secure and conveniently located with 24-hour CCTV and tannoy system. Tenants benefit from free use of the kitchen facilities, complimentary tea, coffee and Wi-Fi.Call us today to book a viewing","https://www.rightmove.co.uk/properties/168837383#/?channel=COM_LET","2025-10-31T12:16:28Z","","price_reduced","Marketed by The Storage Team Limited, Sheffield","","53.38941","-1.45644","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292073/168837383/292073_G02-GF_IMG_08_0000_max_476x317.png"
