id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"720357724710176","Southwark","Restaurant","Unit 24 Union Yard, Union Street, Southwark, SE1 0RL","£6,920 pcm","","","","2,560 sq. ft.","2560","2560","238","238","A newly refurbished 2,340 sq ft leisure unit located in Southwark, just a 6 minute walk to Southwark Tube Station, a 19 minute walk to London Bridge Station and a 25 minute walk to City of London.","https://www.rightmove.co.uk/properties/720357724710176#/?channel=COM_LET","2025-11-19T14:49:02Z","","price_reduced","Marketed by The Arch Company, London","","51.503284","-0.101895","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720357724710176/272765_ZSK06903_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720357724710176/272765_ZSK06903_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720357724710176/272765_ZSK06903_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720357724710176/272765_ZSK06903_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720357724710176/272765_ZSK06903_IMG_04_0000_max_476x317.png"
"169999892","Southwark","Office","1 Paris Garden, London, SE1 8ND","£6,100 pcm","From","","","1,020–23,800 sq. ft.","1020","23800","95","2211","Comfortable fit out funky design make this the perfect home for young start-ups and established companies looking for a creative workspace.","https://www.rightmove.co.uk/properties/169999892#/?channel=COM_LET","2025-12-04T13:30:50Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.506308","-0.10623","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169999892/255620_345818-2_IMG_10_0000_max_476x317.jpeg"
"723050151143296","Southwark","Office","230 Blackfriars Road, London, SE1 8NW","£60,138 pcm","","","","7,282–14,579 sq. ft.","7282","14579","677","1354","Refurbished office space by Derwent London in London's bustling Southbank.","https://www.rightmove.co.uk/properties/723050151143296#/?channel=COM_LET","2025-12-04T12:40:08Z","","new","Marketed by Savills, West End Offices","","51.506389","-0.104105","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b79204b04/723050151143296/b79204b0499510d0fc49d99dc09519c6_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12539a7cf/723050151143296/12539a7cf7a4a71273f09cf8b26ab110_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39ad00ae2/723050151143296/39ad00ae2c3c7cfee946a19e89819424_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/abbec50f4/723050151143296/abbec50f42a41edc4fe78ea3778ce7a0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f512852e6/723050151143296/f512852e698ea37102211d78b4902711_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1f323b0d7/723050151143296/1f323b0d7f7fd64faa04ae5a73f51248_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de2af7694/723050151143296/de2af76949acee7402e94dfc00ec7461_max_476x317.jpeg"
"163818098","Southwark","Office","10A Lant Street, London, SE1 1QR","£4,985 pcm","","","","1,870–3,744 sq. ft.","1870","3744","174","348","Stylish warehouse-style offices within a gated courtyard, near Borough Market & London Bridge.","https://www.rightmove.co.uk/properties/163818098#/?channel=COM_LET","2025-06-26T10:30:53Z","","price_reduced","Marketed by BBG Real Estate London, London","","51.501455","-0.097483","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/163818098/214760_303059-2_IMG_23_0000_max_476x317.jpeg"
"164173937","Southwark","Office","10A Lant Street, London, SE1 1QR","£4,996 pcm","","","","1,874 sq. ft.","1874","1874","174","174","Ground Floor Courtyard Warehouse Style Office To Let","https://www.rightmove.co.uk/properties/164173937#/?channel=COM_LET","2025-07-04T14:08:26Z","","price_reduced","Marketed by Field & Sons, London","","51.501455","-0.097483","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/164173937/56019_305258-2_IMG_14_0000_max_476x317.jpeg"
"165079397","Southwark","Office","The Sea Building , 127-131 Great Suffolk Street, London, SE1 1PP","£7,844 pcm","","","","1,582 sq. ft.","1582","1582","147","147","The refurbishment blends a high specification suitable for a modern office occupier with industrial features of the past including good floor to ceiling heights and large windows providing excellent natural light. All tenants within Great Suffolk Yard and The Sea Building benefit from use of the ...","https://www.rightmove.co.uk/properties/165079397#/?channel=COM_LET","2025-07-29T14:43:31Z","","price_reduced","Marketed by USP London, USP London","","51.500494","-0.096981","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f309cf597/165079397/f309cf597ee1788bc53ea2c7cd4239b3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6dae0fd2b/165079397/6dae0fd2b4a05cbd16f1a886c5821b68_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/276be7a1d/165079397/276be7a1d6d81663ad51d230f8f2ff8d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/211c2dacb/165079397/211c2dacb774354315977a10249b9229_max_476x317.jpeg"
"169897916","Southwark","Restaurant","Borough High Street, London SE1","£6,667 pcm","","","","","","","","","Restaurant Lease For Sale - Borough High Street, SE1 1LL","https://www.rightmove.co.uk/properties/169897916#/?channel=COM_LET","2025-12-02T01:02:28Z","","new","Marketed by Stelfort, London","","51.503527","-0.091774","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/09ce63b14/169897916/09ce63b14bea60a3d6a4bd0b5cf6c0a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12eb09be6/169897916/12eb09be6bd4170e469e5aa186b44e57_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ef5882ecd/169897916/ef5882ecd558e16424dd44385acde8df_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e43da5e86/169897916/e43da5e869ab27d62c96e965a180eb6e_max_476x317.jpeg"
"168637043","Southwark","Office","2 More London Riverside, London, SE1","£64,529 pcm","","","","8,451 sq. ft.","8451","8451","785","785","Grade A, fully-fitted, part 5th floor office with stunning river views","https://www.rightmove.co.uk/properties/168637043#/?channel=COM_LET","2025-10-27T12:11:40Z","","size_change","Marketed by Hallett London Limited, London","","51.50528","-0.08039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278684/168637043/278684_2ML_IMG_09_0000_max_476x317.jpeg"
"160415462","Southwark","Light Industrial","Ilderton Road, London SE15 1NP, UK","£4,688 pcm","","","","2,885 sq. ft.","2885","2885","268","268","PHOTOS ARE INDICATIVE, UNIT TO BE REFURBISHED PRIOR TO LETTING. Unit 3A Canterbury Industrial Estate comprises 2,885 sq. ft of warehouse space including a WC, kitchenette and estate parking. Each unit has a single roller shutter door and separately metered electricity, gas and wa...","https://www.rightmove.co.uk/properties/160415462#/?channel=COM_LET","2025-04-08T15:53:15Z","","size_change","Marketed by Capital Industrial, London","","51.481542","-0.05359","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/160415462/161303_b6590991-1f10-4596-ab78-d8183bb11748_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/160415462/161303_b6590991-1f10-4596-ab78-d8183bb11748_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/160415462/161303_b6590991-1f10-4596-ab78-d8183bb11748_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/160415462/161303_b6590991-1f10-4596-ab78-d8183bb11748_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/160415462/161303_b6590991-1f10-4596-ab78-d8183bb11748_IMG_06_0000_max_476x317.jpeg"
"169826018","Southwark","Office","Uncommon - Borough, 1 Long Lane, London, SE1 4PG","POA","","","","340–3,400 sq. ft.","340","3400","32","316","Grade A office space available in Borough","https://www.rightmove.co.uk/properties/169826018#/?channel=COM_LET","2025-11-28T15:10:43Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.501281","-0.091756","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169826018/255620_345367-2_IMG_04_0000_max_476x317.jpeg"
