id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"136061615","Staffordshire","Retail Property (high street)","21-23 Market Street, Lichfield, Staffordshire, WS13 6JX","£3,958 pcm","","","","The premises comprise self-contained retail accommodation providing ground floor sales area with ancillary office / storage and rear yard for loading / unloading together with first floor ancillary storage, staff room and WC's.","https://www.rightmove.co.uk/properties/136061615#/?channel=COM_LET","2023-06-14T11:57:44Z","","new","Marketed by Burley Browne, Sutton Coldfield","","52.683037","-1.829144","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109673/136061615/109673_4397LH_IMG_11_0001_max_476x317.jpeg"
"169954436","Staffordshire","Retail Property (high street)","181 Station Street, Burton-On-Trent","£1,083 pcm","","","","To LET - Office, General Retail, Restaurants/Cafes, Offices, Retail, Licensed & Leisure. The subject property comprises a ground floor retail / office unit, comprising a front sales area, two rear offices, kitchen and WC facilities. The first floor comprises two additional offices spaces...","https://www.rightmove.co.uk/properties/169954436#/?channel=COM_LET","2025-12-03T12:06:36Z","","new","Marketed by The Student Letting Specialist, Derby","","52.803611","-1.632545","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185519/169954436/185519_34338232_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185519/169954436/185519_34338232_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185519/169954436/185519_34338232_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185519/169954436/185519_34338232_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185519/169954436/185519_34338232_IMG_04_0000_max_476x317.jpeg"
"158469857","Staffordshire","Light Industrial","Progress Drive,  Cannock, WS11","£1,750 pcm","","","1","(unit 5a-2) 1750 sqft warehouse to let - Cannock, WS11 0JE","https://www.rightmove.co.uk/properties/158469857#/?channel=COM_LET","2025-02-19T17:58:44Z","","size_change","Marketed by M3M Real Estate, Hayes","","52.67834","-2.02377","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/158469857/272909_744_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/158469857/272909_744_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/158469857/272909_744_IMG_09_0000_max_476x317.jpeg"
"169920491","Staffordshire","Office","117-119 High Street, Stoke-On-Trent, Staffordshire, ST6","£2,000 pcm","","","","Comprises first and second floor office space. Suitable for variety of uses (Class E), including office, retail, educational, medical and more. ","https://www.rightmove.co.uk/properties/169920491#/?channel=COM_LET","2025-12-02T14:13:34Z","","new","Marketed by Blue Alpine, London","","53.05733","-2.21063","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169920491/230087_117-119highst_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169920491/230087_117-119highst_IMG_01_0000_max_476x317.jpeg"
"169919450","Staffordshire","Retail Property (high street)","117 High Street, Stoke-On-Trent, Staffordshire, ST6","£1,500 pcm","","","","Comprises ground floor retail premises. Suitable for variety of uses (Class E). ","https://www.rightmove.co.uk/properties/169919450#/?channel=COM_LET","2025-12-02T14:02:13Z","","new","Marketed by Blue Alpine, London","","53.05733","-2.21063","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/716d7f6a6/169919450/716d7f6a6ae774173e1ce7121b5d82dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/022e4817c/169919450/022e4817c3e512c9710474d473c3956c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b4f6cd995/169919450/b4f6cd99580b5102116aa9379270d8cd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e6558d36b/169919450/e6558d36b82f2e13e06fca30d5ec49f5_max_476x317.jpeg"
"169919432","Staffordshire","Office","Unit 8 Wiltell Works, Upper St. John Street, Lichfield","£1,250 pcm","","","","These ground and first floor offices are located in Lichfield within the Wiltell Works Industrial Estate. They consist of ground floor offices of 426 sq ft and first floor offices of 431 sq ft available with tea prep and toilet facilities. The offices come with 1 designated parking space to the fron","https://www.rightmove.co.uk/properties/169919432#/?channel=COM_LET","2025-12-02T14:00:43Z","","new","Marketed by Hexagon Commercial Property, Stourbridge","","52.6781","-1.82576","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78828/169919432/78828_48929_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78828/169919432/78828_48929_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78828/169919432/78828_48929_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78828/169919432/78828_48929_IMG_03_0000_max_476x317.jpeg"
"169913693","Staffordshire","Shop","New Street, Staffordshire, Burton upon Trent, DE14","£585 pcm","","1","","SHOP TO LET Nicholas Humphreys are pleased to offer this ground floor shop to let in Burton on Trent. The shop consists of ground floor unit, kitchen area, separate wc. Located in the town center it would be ideal for small business or office space. Please call Nicholas Humphreys ...","https://www.rightmove.co.uk/properties/169913693#/?channel=COM_LET","2025-12-02T12:25:14Z","","new","Marketed by Nicholas Humphreys, Burton-on-Trent","","52.80183","-1.63692","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39818/169913693/39818_P1742_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39818/169913693/39818_P1742_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39818/169913693/39818_P1742_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39818/169913693/39818_P1742_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39818/169913693/39818_P1742_IMG_04_0000_max_476x317.jpeg"
"168494126","Staffordshire","Office","Offices at Richard Hall House, Bridgnorth Road, WV5","£231 pcm","","","","Individual offices to let in a range of sizes at £12 per square foot plus VAT","https://www.rightmove.co.uk/properties/168494126#/?channel=COM_LET","2025-10-22T15:38:53Z","","size_change","Marketed by Andrew Dixon & Company, Cannock","","52.52748","-2.21383","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168494126/295259_CABP2221AWH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168494126/295259_CABP2221AWH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168494126/295259_CABP2221AWH_IMG_01_0000_max_476x317.jpeg"
"169750247","Staffordshire","Warehouse","Fenton Trade Park, Stoke-on-Trent, ST4 2TE			 			 ","£1,720 pcm","Guide Price","","","Unit D3 at Fenton Trade Park is a modern, light industrial warehouse located on the well-established Fenton Industrial Estate. ","https://www.rightmove.co.uk/properties/169750247#/?channel=COM_LET","2025-11-26T16:46:40Z","","new","Marketed by Mileway Real Estate UK Limited, North West","","53.0113","-2.1614","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/169750247/98021_7e85hzLQP2y48OyrxqbzeU_IMG_10_0000_max_476x317.jpeg"
"169746347","Staffordshire","Workshop","Unit 5 Upper Brockhurst, Shifnal, TF11 8NE ","£916 pcm","","","","Rural Workshop / Storage Space To Let","https://www.rightmove.co.uk/properties/169746347#/?channel=COM_LET","2025-11-26T15:46:50Z","","new","Marketed by WLT Commercial, Telford","","52.7039","-2.26076","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169746347/292100_U5UB_IMG_02_0000_max_476x317.jpeg"
