id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167272130","Stirlingshire","Office","Logie Court, University Innovation Park, Stirling, FK9","£962 pcm","From","","","1,154–1,920 sq. ft.","1154","1920","107","178","Modern office space with significant car parking - Incentives available. The subjects are located within the well-known Stirling University Innovation Park, a hub of academic and business collaboration. The Innovation Park is situated approximately 2.4 miles north of Stirling's city centre. ","https://www.rightmove.co.uk/properties/167272130#/?channel=COM_LET","2025-09-22T15:47:35Z","","new","Marketed by LAK Investment Holdings, Stirling","","56.14211","-3.91733","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280496/167272130/280496_LogieCourt_IMG_09_0000_max_476x317.jpeg"
"722946319141664","Stirlingshire","Retail Property (high street)","117 Main Street, Bainsford, Falkirk, FK2 7NT","£750 pcm","","","","424 sq. ft.","424","424","39","39","Hot-food takeaway premises available for immediate occupation","https://www.rightmove.co.uk/properties/722946319141664#/?channel=COM_LET","2025-12-03T21:42:02Z","","new","Marketed by G M Brown, Glasgow","","56.013262","-3.788355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/722946319141664/243653_344693-2_IMG_00_0000_max_476x317.png"
"169972796","Stirlingshire","Serviced Office","WorKing Flexispaces, 45 King Street, Stirling FK8 1DN","£1,440 pcm","","","","","","","","","No summary available.","https://www.rightmove.co.uk/properties/169972796#/?channel=COM_LET","2025-12-03T17:23:11Z","","new","Marketed by Harper & Stone Limited, Dollar","","56.118175","-3.938025","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199835/169972796/199835_34339350_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199835/169972796/199835_34339350_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199835/169972796/199835_34339350_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199835/169972796/199835_34339350_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199835/169972796/199835_34339350_IMG_04_0000_max_476x317.jpeg"
"722863884110337","Stirlingshire","Retail Property (high street)","59 High Street, Falkirk, FK1 1EJ","POA","","","","13,797 sq. ft.","13797","13797","1282","1282","Prominent Retail Unit - To Let","https://www.rightmove.co.uk/properties/722863884110337#/?channel=COM_LET","2025-12-03T10:49:08Z","","new","Marketed by Orinsen, Scotland","","55.999744","-3.786288","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863884110337/282257_295616-2_IMG_00_0000_max_476x317.jpeg"
"169764713","Stirlingshire","Industrial Park","Unit 7 , A9 Estate, Abbotsford Industrial Estate, Falkirk, Falkirk, FK2 7YZ","£2,083 pcm","","","","2,185 sq. ft.","2185","2185","203","203","Abbotsford Business Park is a new industrial estate situated in the north of Falkirk. The estate is accessed from the A9, just north of Bankside and Middlefield Industrial Estates. The premises comprise a mid terraced industrial unit of steel frame construction which benefits from a minimum eave...","https://www.rightmove.co.uk/properties/169764713#/?channel=COM_LET","2025-11-27T09:17:10Z","","new","Marketed by Ryden LLP, Edinburgh","","56.016281","-3.782847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764713/287741_18650LH_IMG_06_0000_max_476x317.jpeg"
"719240838078400","Stirlingshire","Serviced Office","Antonine Hub, Callendar Business Park, Falkirk, FK1 1XE","£52,561 pcm","","","","162–15,796 sq. ft.","162","15796","15","1467","Serviced Offices TO LET","https://www.rightmove.co.uk/properties/719240838078400#/?channel=COM_LET","2025-11-13T10:59:06Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","55.995428","-3.762583","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240838078400/226952_335045-2_IMG_07_0000_max_476x317.jpeg"
"97668965","Stirlingshire","Serviced Office","Springfield House, Stirling","£180 pcm","From","","","180–1,904 sq. ft.","180","1904","17","177","Offering a range of business spaces to let with flexible leases and ample free parking, Springfield House serviced offices in Stirling are situated in the popular Laurelhill Business Park. It's a hive of activity with a wide range of local and national business headquarters located here. ","https://www.rightmove.co.uk/properties/97668965#/?channel=COM_LET","2020-09-24T15:16:03Z","","new","Marketed by Ceteris (Scotland) Ltd, Alloa","","56.10982","-3.94661","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_SpringfieldHouse_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103057/97668965/103057_OfficeTwoOneSpringfieldHouse_IMG_02_0000_max_476x317.JPG"
"169584929","Stirlingshire","Heavy Industrial","Unit 15, 9 Munro Road, Stirling, Stirlingshire, FK7","£3,750 pcm","","","","4,052 sq. ft.","4052","4052","376","376","Prime Industrial Unit To Let - Stirling","https://www.rightmove.co.uk/properties/169584929#/?channel=COM_LET","2025-11-21T16:22:18Z","","new","Marketed by Falconer Property Consultants Limited, Scotland","","56.11396","-3.91565","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169584929/70314_unit15munroroadstirling_IMG_02_0000_max_476x317.jpeg"
"160042868","Stirlingshire","Office","Lomond Court, Castle Business Park, Stirling, FK9 4TU","£1,299 pcm","","","","1,299–8,057 sq. ft.","1299","8057","121","749","Attractive high quality open plan office suite on an established business park environment in central Scotland.","https://www.rightmove.co.uk/properties/160042868#/?channel=COM_LET","2025-03-31T14:09:12Z","","size_change","Marketed by JLL, Edinburgh - Offices","","56.128333","-3.960354","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261365/160042868/261365_41079-2_IMG_07_0000_max_476x317.jpeg"
"169491845","Stirlingshire","Light Industrial","Broadleys Road, Stirling, Stirlingshire, FK7","£2,083 pcm","","","","1,763 sq. ft.","1763","1763","164","164","Prime Industrial Unit With Yard To Let - Stirling","https://www.rightmove.co.uk/properties/169491845#/?channel=COM_LET","2025-11-19T14:12:35Z","","new","Marketed by Falconer Property Consultants Limited, Scotland","","56.1166","-3.91902","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169491845/70314_8BroadleysRoad_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169491845/70314_8BroadleysRoad_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169491845/70314_8BroadleysRoad_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169491845/70314_8BroadleysRoad_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169491845/70314_8BroadleysRoad_IMG_00_0000_max_476x317.jpeg"
