id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158112530","Stockport","Retail Property (high street)","4 Warren Street, Stockport, SK1 1UD","£3,333 pcm","","","","To Let: 2,572 Sq.ft Two story prime retail unit in Stockport town centre","https://www.rightmove.co.uk/properties/158112530#/?channel=COM_LET","2025-02-11T16:03:32Z","","new","Marketed by MBRE, Stockport","","53.412716","-2.157397","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/158112530/195614_280255-2_IMG_25_0000_max_476x317.jpeg"
"122043806","Stockport","Office","1 Wellington Road, 1-13 Wellington Road North, Stockport, SK4 1AF","POA","","","","Overlooking Stockport's new town centre park and with incredible views these flexible workspaces offer much more than the views alone. The entrance and reception areas are undergoing a revitalisation keeping the space fresh and energetic. A handful of office suites are available, with all having...","https://www.rightmove.co.uk/properties/122043806#/?channel=COM_LET","2022-04-06T15:06:26Z","","size_change","Marketed by Orbit Developments, Alderley Edge","","53.410102","-2.163505","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_33_0000_max_476x317.jpeg"
"163846025","Stockport","Retail Property (high street)","10 Bramhall Lane, Heaviley, Stockport, SK2 6HR","£650 pcm","","","","Prominently located ground floor retail premises with public lay-by car parking nearby","https://www.rightmove.co.uk/properties/163846025#/?channel=COM_LET","2025-06-26T16:32:12Z","","new","Marketed by Fairhurst Buckley, Stockport","","53.398258","-2.153112","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/163846025/170654_358LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/163846025/170654_358LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/163846025/170654_358LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/163846025/170654_358LH_IMG_03_0000_max_476x317.jpeg"
"168098714","Stockport","Retail Property (high street)","130 Castle Street, Edgeley, Stockport","£1,125 pcm","","","","Prominent ground and first floor retail unit, befitting from a fit out shop frontage and individual rooms for consultations or meetings. The unit is presented in a clean, modern condition with neutral décor, making it a turnkey opportunity for occupiers looking to set up with minimal initial inve...","https://www.rightmove.co.uk/properties/168098714#/?channel=COM_LET","2025-10-10T16:41:55Z","","price_reduced","Marketed by Roger Hannah Ltd, Manchester","","53.401344","-2.170546","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/168098714/94751_5107LH_IMG_07_0000_max_476x317.jpeg"
"169824329","Stockport","Serviced Office","- Dale House - Stockport, Greater Manchester, SK1","£242 pcm","From","","","MCR Property Group presents Dale House Business Centre. The newly refurbished business centre offers a selection of small to medium-sized serviced offices. Ranging from 83 - 379 sq ft the offices are ideal for start-ups and SMEs. Flexible lease terms are available. ","https://www.rightmove.co.uk/properties/169824329#/?channel=COM_LET","2025-11-28T14:45:06Z","","size_change","Marketed by MCR Property Group, Manchester","","53.41298","-2.15918","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824329/203852_DaleHouseStockport28novD_IMG_07_0000_max_476x317.jpeg"
"169824260","Stockport","Serviced Office","- Dale House - Stockport, Greater Manchester, SK1","£785 pcm","From","","","MCR Property Group presents Dale House Business Centre. The newly refurbished business centre offers a selection of small to medium-sized serviced offices. Ranging from 83 - 379 sq ft the offices are ideal for start-ups and SMEs. Flexible lease terms are available. ","https://www.rightmove.co.uk/properties/169824260#/?channel=COM_LET","2025-11-28T14:44:33Z","","size_change","Marketed by MCR Property Group, Manchester","","53.41298","-2.15918","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824260/203852_DaleHouseStockport28novC_IMG_09_0000_max_476x317.jpeg"
"169824239","Stockport","Serviced Office","- Dale House - Stockport, Greater Manchester, SK1","£1,009 pcm","From","","","MCR Property Group presents Dale House Business Centre. The newly refurbished business centre offers a selection of small to medium-sized serviced offices. Ranging from 83 - 379 sq ft the offices are ideal for start-ups and SMEs. Flexible lease terms are available. ","https://www.rightmove.co.uk/properties/169824239#/?channel=COM_LET","2025-11-28T14:43:51Z","","size_change","Marketed by MCR Property Group, Manchester","","53.41298","-2.15918","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203852/169824239/203852_DaleHouseStockport28novB_IMG_10_0000_max_476x317.jpeg"
"169810406","Stockport","Retail Property (high street)","54 Princes Street, Stockport, SK1 1RY","£1,000 pcm","","","","Prominantly located retail premises in Stockport Town Centre","https://www.rightmove.co.uk/properties/169810406#/?channel=COM_LET","2025-11-28T11:16:34Z","","new","Marketed by Gifford Dixon Commercial Property, Manchester","","53.411092","-2.161852","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169810406/287705_344691-2_IMG_09_0000_max_476x317.jpeg"
"169592261","Stockport","Light Industrial","Hallam Street, Stockport, Greater Manchester, SK2","£2,750 pcm","","","","Hallam Mill is a versatile industrial and creative complex comprising a variety of office, warehouse, workshop, and studio units. The main mill building provides five floors of adaptable workspace, supported by a selection of single- and two-storey ancillary office and studio accommodation.Unit 4B","https://www.rightmove.co.uk/properties/169592261#/?channel=COM_LET","2025-11-21T20:06:26Z","","new","Marketed by EQUINOX ESTATES MCR LTD, Manchester","","53.3956","-2.15173","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291290/169592261/291290_HallamStudios_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291290/169592261/291290_HallamStudios_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291290/169592261/291290_HallamStudios_IMG_02_0000_max_476x317.jpeg"
"169577015","Stockport","Retail Property (high street)","45-47 Great Underbank, Stockport, SK1 1NE","£3,167 pcm","","","","To Let: 3,421 Sq.ft Exciting Retail/leisure/restaurant/bar opportunity in Stockport Old Town","https://www.rightmove.co.uk/properties/169577015#/?channel=COM_LET","2025-11-21T14:34:01Z","","new","Marketed by MBRE, Stockport","","53.410889","-2.158655","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195614/169577015/195614_338362-2_IMG_17_0000_max_476x317.jpeg"
