id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"160347272","Suffolk","Office","Suite 1, The old Lowestoft Hospital ","£600 pcm","","","","Versatile commercial unit situated on the grounds of the old Lowestoft Hospital Site..","https://www.rightmove.co.uk/properties/160347272#/?channel=COM_LET","2025-04-07T13:11:33Z","","new","Marketed by Elisabeth James Homes, Suffolk","","52.509101","1.693637","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9dca13c61/160347272/9dca13c61aeae7503406e9ce6030ccd7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/49c52aebe/160347272/49c52aebe95628076ae924cc833ccbed_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/386bd99f4/160347272/386bd99f47e08acefd28620c729d7bbd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4a827c94f/160347272/4a827c94fbe9c54d0442cde85b5584dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5fa96cc5f/160347272/5fa96cc5f0a995a4e41b680eb3b7f71e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d6d5b72f/160347272/2d6d5b72f5aecbabdc676ed6476b345f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/26f86482a/160347272/26f86482ac766e40308cc70568a8495c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dac4dcc4a/160347272/dac4dcc4a2f28566ccd07bc4682db4e8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d259e2fc4/160347272/d259e2fc48536f231ad2863779c900aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3572aa263/160347272/3572aa263ddeda206d3178bcb62aedbe_max_476x317.jpeg"
"169948490","Suffolk","Office","Lanwades Park, Kentford, Newmarket, CB8 7UA","POA","","","","Research and Development To Let, Newmarket","https://www.rightmove.co.uk/properties/169948490#/?channel=COM_LET","2025-12-03T10:40:44Z","","new","Marketed by Bidwells LLP, Cambridge","","52.26926","0.480428","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169948490/281033_340348-2_IMG_07_0000_max_476x317.jpeg"
"166323269","Suffolk","Office","Unit 3 Court Farm, Stutton Road, Brantham, East Of England, CO11","£354 pcm","","","","Court Farm is situated close to the junction of the B1080 and A137 Ipswich to Manningtree road, close to the Brantham Bull Public House. The A137 provides direct access to the A14, 5 miles distant and the A12, 4 miles distant via Bentley. Manningtree and Ipswich railway stations provide a freque...","https://www.rightmove.co.uk/properties/166323269#/?channel=COM_LET","2025-08-28T16:33:15Z","","new","Marketed by Fenn Wright, Ipswich Commercial Sales and Lettings","","51.968681","1.090051","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/166323269/161330_14867127LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/166323269/161330_14867127LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/166323269/161330_14867127LH_IMG_02_0000_max_476x317.jpeg"
"169946492","Suffolk","Distribution Warehouse","No. 6 Shed Island Site, New Cut East, Port of Ipswich, IP3 0EA","POA","","","","10,935 sq ft Single-Clad Warehouse 0.3 Acre Yard For Vehicle Parking At The Front Of The Site","https://www.rightmove.co.uk/properties/169946492#/?channel=COM_LET","2025-12-03T10:10:54Z","","new","Marketed by JLL, London - Industrial","","52.048127","1.159764","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/10025b0cc/169946492/10025b0cc782d0a6aafb2960237d0f6a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c69d5b559/169946492/c69d5b559aaba738d13e2d748ccf5035_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f39aeed14/169946492/f39aeed14e3b29adf20e7a0ddb3c8cc5_max_476x317.jpeg"
"169928504","Suffolk","Retail Property (high street)","Merchants Yard, Grafton Way, Ipswich, IP1 1UZ","POA","","","","Retail / A3 (Restaurants and Cafes) To Let, Ipswich","https://www.rightmove.co.uk/properties/169928504#/?channel=COM_LET","2025-12-02T16:17:11Z","","size_change","Marketed by Bidwells LLP, Cambridge","","52.051948","1.151222","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169928504/281033_340182-2_IMG_05_0000_max_476x317.jpeg"
"155410877","Suffolk","Serviced Office","Suffolk Enterprise Centre Felaw Maltings 44 Felaw Street, Ipswich","£613 pcm","From","","","Suffolk Enterprise Centre is a multi-occupancy business centre based in the beautiful Felaw Maltings (IP2 8SJ). We offer a variety of bespoke serviced office space ranging from 208sqft to 1,378sqft. Offered on flexible tenancy terms, all tenants benefit from the use of the on-site business lounge...","https://www.rightmove.co.uk/properties/155410877#/?channel=COM_LET","2024-11-27T06:17:22Z","","size_change","Marketed by Office Freedom, Office Freedom Regional","","52.049435","1.157984","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_00_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_01_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_02_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_03_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_04_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155410877/237641_6366-1_IMG_06_0000_max_476x317.png"
"168700298","Suffolk","Commercial Property","30 & 32 Felnor Walk, Felixstowe, IP11 7DN","£1,000 pcm","","","","COMMERCIAL UNIT","https://www.rightmove.co.uk/properties/168700298#/?channel=COM_LET","2025-10-28T12:43:57Z","","price_reduced","Marketed by Stirling Ackroyd, Commercial","","51.962864","1.351795","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/70cdec0d4/168700298/70cdec0d41e9a3dd589bc85f452da93f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/379409cf9/168700298/379409cf97bacffae414335363903b95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df8b477f7/168700298/df8b477f77d38fd1d966094a83a40337_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/178bbd2da/168700298/178bbd2da461dcff0ba31847fb73f0c4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/36b49ed4b/168700298/36b49ed4b24f06c7b3f15c3e07133229_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/346ed690f/168700298/346ed690ff409d299bb0160b79e75fca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3074164d/168700298/d3074164d000f4956af74b2e5565f0fb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4925b0304/168700298/4925b030453d78d7c66b34c14a229b89_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23acd3102/168700298/23acd310284e602ea61b2260695f0f1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/991527820/168700298/9915278201ce975caff951859ed6235f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/efe6f27de/168700298/efe6f27dec2ab3dad1a3fa683b3f29be_max_476x317.jpeg"
"160032671","Suffolk","Light Industrial","Whapload Road, Lowestoft","£2,083 pcm","","","","A substantial two storey building which has most recently been used for offices, storage and workshop uses. Together with a smaller store building suitable for workshop. Would ideally suit engineering or companies related to the offshore energy sector or working within the closely situated Lowes...","https://www.rightmove.co.uk/properties/160032671#/?channel=COM_LET","2025-03-31T11:52:55Z","","price_reduced","Marketed by Bycroft Commercial, Great Yarmouth","","52.48443","1.75782","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210365/160032671/210365_101177012491_IMG_11_0000_max_476x317.jpeg"
"169897871","Suffolk","Commercial Property","Orwell House, Ferry Lane","£596 pcm","","","","This first floor, FULLY SERVICED office suite forms part of a commercial development close to FELIXSTOWE DOCKS with onsite LORRY and CAR PARKING, MANAGEMENT and 24 HOUR CCTV. Call our commercial department for lease details.","https://www.rightmove.co.uk/properties/169897871#/?channel=COM_LET","2025-12-02T00:54:56Z","","new","Marketed by Delaney's, Commercial","","51.954829","1.3331","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897871/174500_CL0026_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897871/174500_CL0026_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897871/174500_CL0026_IMG_02_0000_max_476x317.jpeg"
"169886150","Suffolk","Commercial Property","Field Lane, Lowestoft","£5,833 pcm","","","","An excellent opportunity to acquire or lease a substantial and versatile industrial site located in Kessingland, just south of Lowestoft. The property sits on approximately 0.54 acres of land and offers a well-equipped base for a variety of trades and businesses, featuring two large warehouses, a...","https://www.rightmove.co.uk/properties/169886150#/?channel=COM_LET","2025-12-01T15:50:52Z","","new","Marketed by Steel & Co Commercial Property Services, Lowestoft","","52.42104","1.71476","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65427/169886150/65427_12680612_IMG_08_0000_max_476x317.jpeg"
