id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"721781147800176","Surrey","Office","Compton House, The Guildway, Guildford, GU3 1LR","£16,099 pcm","","","","1,722–7,025 sq. ft.","1722","7025","160","653","Fully refurbished office space with great parking. Last remaining floor.","https://www.rightmove.co.uk/properties/721781147800176#/?channel=COM_LET","2025-11-27T11:44:02Z","","size_change","Marketed by Hurst Warne & Partners Surveyors Limited, Guildford","","51.215901","-0.580586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781147800176/282641_181495-2_IMG_06_0000_max_476x317.jpeg"
"170013926","Surrey","Office","Building 3 Meadows Business Park, Camberley, Surrey, GU17 9AB","£3,673 pcm","","","","1,356–15,665 sq. ft.","1356","15665","126","1455","Fully fitted suites available to let from 1,296 sq ft.","https://www.rightmove.co.uk/properties/170013926#/?channel=COM_LET","2025-12-04T16:13:23Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.332836","-0.77747","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c6d4e2525/170013926/c6d4e2525b06e4b8fad4ad9722fc4cfb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1ac4565a/170013926/c1ac4565a0c3a7531acebb90dd8eafb1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/61437a770/170013926/61437a770c0466ce6e908748ddbbbe90_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0056db778/170013926/0056db778dad4448ccb8bf5a72049b53_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c31febb68/170013926/c31febb687b1d7bac266c63028bf75a0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/90e42c785/170013926/90e42c785c806e3abcac5e732e903d7d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/923adf801/170013926/923adf80150c4c9f2e88a2c2bf9743f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2ca3cc750/170013926/2ca3cc750a978476d9893afbd8dd4e8b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/16f9087ae/170013926/16f9087ae649611d2167d8a670dc159d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ae45a7629/170013926/ae45a7629c54b4c8e826d306bee8b8f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ec644af7/170013926/8ec644af742965d57dc98067351fe490_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b458b9b9f/170013926/b458b9b9f0230bb6cfbf60636d6971d0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dd8daafa3/170013926/dd8daafa3e810b051213b15c446eb867_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9338bb122/170013926/9338bb122f61121934c1e2b65466e84a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3de175c11/170013926/3de175c11e4dc4c699a299fc42d22d1d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b3268b4a/170013926/2b3268b4a8b9090bcef707c8b769418d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4578fb929/170013926/4578fb929f233b2f76c3b00956ff8c77_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/393326191/170013926/3933261917ec64e1357fa19d05729232_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1bf612910/170013926/1bf61291052ad8e22ea8f3084f5c453e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3221eb287/170013926/3221eb287843fe894e6b5d34e324ae49_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/82b92c8d6/170013926/82b92c8d6cef64e8db5eb63e5b0038a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1b1eb2b82/170013926/1b1eb2b82294a9e17742070bde2b640a_max_476x317.jpeg"
"170013353","Surrey","Office","Building 200, Bourne Business Park, Weybridge, Weybridge, KT15 2NX","£20,983 pcm","","","","7,194 sq. ft.","7194","7194","668","668","Fully fitted Grade A office space available immediately","https://www.rightmove.co.uk/properties/170013353#/?channel=COM_LET","2025-12-04T16:07:50Z","","new","Marketed by Hollis Hockley, Reading","","51.372866","-0.477591","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170013353/297365_272464-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170013353/297365_272464-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170013353/297365_272464-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170013353/297365_272464-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170013353/297365_272464-2_IMG_04_0000_max_476x317.jpeg"
"170010266","Surrey","Office","One Causeway Park, Staines, Surrey, TW18 3FD","£4,602 pcm","From","","","1,513–75,660 sq. ft.","1513","75660","141","7029","A high profile new build office with exceptional ESG credentials.","https://www.rightmove.co.uk/properties/170010266#/?channel=COM_LET","2025-12-04T15:36:11Z","","new","Marketed by Hollis Hockley, Reading","","51.434747","-0.535064","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170010266/297365_157274-2_IMG_14_0000_max_476x317.jpeg"
"170010209","Surrey","Office","Building 400, Bourne Business Park, Weybridge, Surrey, KT15 2NX","£43,538 pcm","","","","14,717 sq. ft.","14717","14717","1367","1367","Fully fitted office suite available by way of a sub lease or assignment.","https://www.rightmove.co.uk/properties/170010209#/?channel=COM_LET","2025-12-04T15:35:47Z","","new","Marketed by Hollis Hockley, Reading","","51.372767","-0.477019","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/59b1a69a2/170010209/59b1a69a2a21aed8da97ac5c9abbc9d4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a0e19bdaf/170010209/a0e19bdaf8d26970ab7a1c2a2512b720_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/46fcba7c1/170010209/46fcba7c170a4be73b8827a466a92988_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23fc8d5db/170010209/23fc8d5db746218633d12cab3ed1e645_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1fc32464/170010209/c1fc3246416ac8b2c5f10150ddb72715_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/56c2e2506/170010209/56c2e2506b3b5d72d8012fa804accbaf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/05b999b00/170010209/05b999b00ca03ff96b1bd0ab44860b68_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c0d1bdaf0/170010209/c0d1bdaf033bdfe79a6f652e03a9b6ed_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/78535044c/170010209/78535044cf9ba1c86b4e83ee256f9066_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c9983da23/170010209/c9983da2320246a88d2b2acee9279872_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de4d74c10/170010209/de4d74c102c50eace95dbbaaacf7b34b_max_476x317.jpeg"
"170009879","Surrey","Office","St Georges House, Camberley, Surrey, GU15 3SY","£1,500 pcm","","","","1,000–4,150 sq. ft.","1000","4150","93","386","Fully refurbished modern offices in town centre location","https://www.rightmove.co.uk/properties/170009879#/?channel=COM_LET","2025-12-04T15:33:21Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.338915","-0.743772","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009879/297368_71584-2_IMG_07_0000_max_476x317.jpeg"
"170009708","Surrey","Office","Building 2 Meadows Business Park, Camberley, GU17 9AB","£12,991 pcm","","","","5,669–18,957 sq. ft.","5669","18957","527","1761","Newly refurbished office space with café and amenities","https://www.rightmove.co.uk/properties/170009708#/?channel=COM_LET","2025-12-04T15:32:12Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.332651","-0.777092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009708/297368_20203-2_IMG_15_0000_max_476x317.jpeg"
"723048607664833","Surrey","Office","The Square, Randalls Road, Leatherhead, KT22 7RY","£52,138 pcm","","","","4,552–19,862 sq. ft.","4552","19862","423","1845","The Square comprises four stunning office buildings ranging in size from 4,552 sq ft up to 31,568 sq ft and totalling 68,851 sq ft.","https://www.rightmove.co.uk/properties/723048607664833#/?channel=COM_LET","2025-12-04T11:19:30Z","","new","Marketed by Savills, Margaret Street - Offices","","51.30195","-0.342764","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048607664833/210155_20869-2_IMG_09_0000_max_476x317.jpeg"
"169983155","Surrey","Warehouse","Guildford38, 2-3 Dennis Way, Guildford, GU1 1AF","£61,368 pcm","","","","37,765 sq. ft.","37765","37765","3508","3508","Rarely Available Freehold - Guildford High Specification Industrial/Logistics Opportunity.","https://www.rightmove.co.uk/properties/169983155#/?channel=COM_LET","2025-12-04T09:21:42Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.263452","-0.565509","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169983155/297368_305303-2_IMG_08_0000_max_476x317.jpeg"
"722905386882417","Surrey","Mixed Use","Ashtead House, Crouch Industrial Estate, Leatherhead, KT22 7DG","£5,417 pcm","","","","2,971–10,614 sq. ft.","2971","10614","276","986","12-Month Lease Available","https://www.rightmove.co.uk/properties/722905386882417#/?channel=COM_LET","2025-12-03T16:16:04Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Leatherhead","","51.305316","-0.328784","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/722905386882417/282647_344868-2_IMG_07_0000_max_476x317.jpeg"
