id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167050463","Sutton","Office","Mitre House, 9-15 High Street, Sutton, Surrey","£1,729 pcm","","","","First floor Town Centre Offices - available to let on a new Full Repairing and Insuring Lease for a term to be agreed.","https://www.rightmove.co.uk/properties/167050463#/?channel=COM_LET","2025-09-16T13:44:13Z","","new","Marketed by Centro Commercial Limited, Surrey","","51.360149","-0.191748","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167050463/211619_737LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167050463/211619_737LH_IMG_01_0000_max_476x317.jpeg"
"169654160","Sutton","Light Industrial","Unit 7, Brookmead Industrial Estate, 2 Jessops Way, Croydon, Surrey, CR0 4TS","£6,250 pcm","","","","Unit 7 comprises a modern, semi-detached portal steel frame construction industrial unit under brick and profile steel-clad elevations. The unit benefits from open plan warehouse area, 1st floor offices, roller shutter door, W/Cs, three phase power & demised forecourt for parking & electric vehic...","https://www.rightmove.co.uk/properties/169654160#/?channel=COM_LET","2025-11-24T14:05:06Z","","new","Marketed by Petchey Holdings Limited, London","","51.388756","-0.142923","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169654160/175082_13LH_IMG_05_0000_max_476x317.jpeg"
"169564499","Sutton","Distribution Warehouse","150 Beddington Lane, Croydon, CR9","POA","","","","To Let - May Sell Rare Low Site Cover Opportunity Guide Rent £115000 This 1.54-acre plot offers secure storage with 22,537 sq ft of buildings. The main unit is arranged over two floors with shutter access to both levels with a small office, kitchenette and w/c's. The second uni...","https://www.rightmove.co.uk/properties/169564499#/?channel=COM_LET","2025-11-21T10:54:20Z","","new","Marketed by Knight Frank, Logistics and Industrial - Commercial","","51.385968","-0.139241","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169564499/155477_LIC012538863_IMG_06_0000_max_476x317.jpeg"
"169561712","Sutton","Office","The Broadway, Sutton","£1,195 pcm","","","","This ground floor commercial premises with Class E Planning Use, comprises two separate rooms/spaces together with a wc, and a utility area. The floor area is some 57.6 square metres. It has the added benefit of two off street parking spaces. It has an excellent location in the heart of the busy ...","https://www.rightmove.co.uk/properties/169561712#/?channel=COM_LET","2025-11-21T10:04:10Z","","new","Marketed by Cromwells Estate Agents, Cheam - Sales","","51.358234","-0.216301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15626/169561712/15626_12789308_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15626/169561712/15626_12789308_IMG_01_0000_max_476x317.jpeg"
"169496012","Sutton","Retail Property (high street)","Ground Floor and Rear Land, 126 Central Road, Worcester Park, KT4 8HT","£1,667 pcm","","","","Ground Floor Shop and Rear Land Available","https://www.rightmove.co.uk/properties/169496012#/?channel=COM_LET","2025-11-19T15:06:56Z","","new","Marketed by Curchod & Co LLP, Woking","","51.379057","-0.24219","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285848/169496012/285848_188434-2_IMG_05_0001_max_476x317.jpeg"
"167920229","Sutton","Office","Mulgrave Chambers 26-28, Mulgrave Road, Sutton, Surrey","POA","","","","Town Centre Office Suites - available to let on a new FRI Lease for a term to be agreed. - Air conditioning - Carpeting throughout - Door entry system - Three compartment perimeter trunking - Suspended ceilings with LED lighting - Intruder alarm - Gas fired central heating - Shared kitchenette -...","https://www.rightmove.co.uk/properties/167920229#/?channel=COM_LET","2025-10-07T15:10:20Z","","size_change","Marketed by Centro Commercial Limited, Surrey","","51.358796","-0.192224","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/167920229/211619_742LH_IMG_10_0000_max_476x317.jpeg"
"169441775","Sutton","Office","Carew House, Railway Approach, Wallington, Surrey SM6 0DX","POA","","","","Carew House comprises a six storey office building which was constructed in the mid 1980s & arranged on lower ground, ground and four upper floors. The 3rd and 4th floors each of approx. 8,000 sq ft are available as a whole or in parts. The 4th floor has been fully refurbished. The 3rd floor i...","https://www.rightmove.co.uk/properties/169441775#/?channel=COM_LET","2025-11-18T12:09:11Z","","size_change","Marketed by SHW, South London","","51.360828","-0.150445","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169441775/285428_16629LH_IMG_07_0000_max_476x317.jpeg"
"169351799","Sutton","Shop","Ross Parade, London, SM6","£1,250 pcm","","","1","A ground floor shop fronted former takeaway to let under a new Lease","https://www.rightmove.co.uk/properties/169351799#/?channel=COM_LET","2025-11-14T14:59:32Z","","new","Marketed by HNF Property Limited, Croydon","","51.36008","-0.14888","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/38c0afe53/169351799/38c0afe535eea2ba5f086634577c5263_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eef416cc6/169351799/eef416cc64721990ce3f56f0076667b9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/05176a626/169351799/05176a626ad1da1ca605cde22598be5e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c28594742/169351799/c2859474274f81a864e82a4fce2e858e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d9f91818c/169351799/d9f91818c462f00dc86bbe92caceff22_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39a040240/169351799/39a040240a0190884525523c757ea7ce_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/76b9a2dbd/169351799/76b9a2dbd774de8c025eaa41f48ff1cb_max_476x317.png"
"149318702","Sutton","Warehouse","Endeavour Way, Croydon, London, CR0 4TR","POA","","","","3 acre open storage site with good quality hardstanding","https://www.rightmove.co.uk/properties/149318702#/?channel=COM_LET","2024-06-18T16:21:27Z","","new","Marketed by Strettons, Commercial and Industrial Agency","","51.385517","-0.133048","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/26c915df1/149318702/26c915df1908116a46d33ad61d7d4a6b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b4db8c294/149318702/b4db8c294930c473bfc40dc461dab269_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/be9fd46c5/149318702/be9fd46c533f45d567a879b95a9e8e49_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3087abc52/149318702/3087abc52b7aac193973cb73635ac2d9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/24eb41efc/149318702/24eb41efc38e2858415079f4924c90e1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/71a3b240e/149318702/71a3b240eb8a90465e66c08cbb23219e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c457b3667/149318702/c457b3667480f675e9854cef99230e5c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/657853bbf/149318702/657853bbf9a36a1ba0d7c4fc53994cb2_max_476x317.jpeg"
"144623744","Sutton","Light Industrial","Restmor Way, Wallington SM6 7AH, UK","£6,588 pcm","","","","Unit 2 Sutton Business Park is a 4,800 sq.ft newly refurbished industrial unit in Hackbridge, South London, just to the west of Croydon and northeast of Sutton. The unit benefits from 4 roller shutters, kitchenette & WC facilities, onside parking and LED lighting. The estate contain...","https://www.rightmove.co.uk/properties/144623744#/?channel=COM_LET","2024-02-12T11:54:29Z","","size_change","Marketed by Capital Industrial, London","","51.375426","-0.15746","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/144623744/161303_d0b03368-9037-489a-91da-ba36a6e95202_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/144623744/161303_d0b03368-9037-489a-91da-ba36a6e95202_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/144623744/161303_d0b03368-9037-489a-91da-ba36a6e95202_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/144623744/161303_d0b03368-9037-489a-91da-ba36a6e95202_IMG_03_0002_max_476x317.jpeg"
