id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"165165116","Tameside","Warehouse","Units 3a & 3b, Fielding Industrial Centre, Oakden Drive, Denton Hall Farm Road, Denton, Manchester, M34 2QN","POA","","","","5,140–15,540 sq. ft.","5140","15540","478","1444","A new, high bay, B2 industrial/warehouse unit with on-site car parking, good access and 200 KVA power","https://www.rightmove.co.uk/properties/165165116#/?channel=COM_LET","2025-07-31T10:17:40Z","","size_change","Marketed by Fairhurst Buckley, Stockport","","53.447681","-2.131824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170654/165165116/170654_377LH_IMG_15_0000_max_476x317.jpeg"
"170016401","Tameside","Commercial Property","Station Street, Dukinfield","£1,500 pcm","","","","1,200 sq. ft.","1200","1200","111","111","Situated on Station Street in the bustling area of Dukinfield, this commercial property offers an excellent opportunity for businesses seeking a versatile space. Previously an MOT station, the premises are conveniently located just off Wharf Street, ensuring easy access for both clients and suppl...","https://www.rightmove.co.uk/properties/170016401#/?channel=COM_LET","2025-12-04T16:37:30Z","","new","Marketed by My Property Club, Denton","","53.482284","-2.098393","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/170016401/235079_34341491_IMG_13_0000_max_476x317.jpeg"
"169917473","Tameside","Retail Property (high street)","Bagshaw Street, Hyde","£695 pcm","","","","500 sq. ft.","500","500","46","46","**MAIN ROAD CORNER POSITION SHOP TO LET IN HYDE** GROUND FLOOR RETAIL PREMISES An end terrace corner retail premises offering a ground floor commercial space over 500 square feet. The property comprises a retail area with stock room and storage cupboard and extra storage space to...","https://www.rightmove.co.uk/properties/169917473#/?channel=COM_LET","2025-12-02T13:24:58Z","","new","Marketed by My Property Club, Denton","","53.462715","-2.076806","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235079/169917473/235079_31305260_IMG_07_0000_max_476x317.jpeg"
"169860926","Tameside","Warehouse","Ravensfield Industrial Estate, Dukinfield, Tameside, SK16","£2,082 pcm","Fixed Price","","","2,584 sq. ft.","2584","2584","240","240","Property Ref: 7755 TO LET: 2,585 SQ FT END TERRACE LIGHT INDUSTRIAL UNIT Ground Floor: 2,345 sq ft plus Mezzanine …","https://www.rightmove.co.uk/properties/169860926#/?channel=COM_LET","2025-12-01T09:13:43Z","","new","Marketed by 99 Home, London","","53.47995","-2.09881","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291917/169860926/291917_7755_EAF_261382_IMG_28_0000_max_476x317.jpeg"
"169827533","Tameside","Retail Property (high street)","3 Wharf Point - Manchester Road, Droylsden, Tameside","£1,667 pcm","","","","1,200 sq. ft.","1200","1200","111","111","Available now is a prominently positioned ground floor retail unit forming part of a well established commercial parade in the heart of Droylsden town centre. The unit benefits from a wide glazed frontage with excellent visibility onto Manchester Road, ensuring strong exposure to passing pedestri...","https://www.rightmove.co.uk/properties/169827533#/?channel=COM_LET","2025-11-28T15:35:53Z","","new","Marketed by Roger Hannah Ltd, Manchester","","53.479343","-2.145892","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169827533/94751_5109LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169827533/94751_5109LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169827533/94751_5109LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169827533/94751_5109LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169827533/94751_5109LH_IMG_04_0000_max_476x317.jpeg"
"721868976540800","Tameside","Distribution Warehouse","Unit 9, Arrow Trading Estate, Corporation Road, Audenshaw, M34 5LR","£8,665 pcm","","","","18,905 sq. ft.","18905","18905","1756","1756","A semi detached warehouse","https://www.rightmove.co.uk/properties/721868976540800#/?channel=COM_LET","2025-11-27T23:00:03Z","","new","Marketed by B.C Real Estate Limited, Manchester","","53.463264","-2.124288","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/721868976540800/254753_345331-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/721868976540800/254753_345331-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/721868976540800/254753_345331-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/721868976540800/254753_345331-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/721868976540800/254753_345331-2_IMG_04_0000_max_476x317.jpeg"
"169776509","Tameside","Commercial Property","Globe House, Globe Lane, Dukinfield","£1,800 pcm","","","","","","","","","Ready to Trade?   Your Business Opportunity Awaits!Saltsman & Co Estate Agents are delighted to present to the rental market a fully fitted café/coffee shop located","https://www.rightmove.co.uk/properties/169776509#/?channel=COM_LET","2025-11-27T12:15:30Z","","new","Marketed by Saltsman & co, Droylsden","","53.47068","-2.10006","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/169776509/89398_saltsman_326235802_IMG_13_0000_max_476x317.jpeg"
"719243209913424","Tameside","Distribution Warehouse","Arrow Trading Estate, Corporation Road, Audenshaw, M34 5LR","POA","","","","3,023–6,133 sq. ft.","3023","6133","281","570","A single storey warehouse with level access loading and integral offices","https://www.rightmove.co.uk/properties/719243209913424#/?channel=COM_LET","2025-11-13T11:12:09Z","","size_change","Marketed by B.C Real Estate Limited, Manchester","","53.463264","-2.124288","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/719243209913424/254753_327042-2_IMG_14_0000_max_476x317.jpeg"
"167727617","Tameside","Retail Property (high street)","49/49A Warrington Street, Tameside, Ashton-Under-Lyne","£1,833 pcm","","","","1,883 sq. ft.","1883","1883","175","175","This well-presented first-floor retail unit offers a prominent position with direct access from the bustling and high-footfall Warrington Street, a well-established retail destination in the area. The property boasts excellent visibility and signage opportunities, making it ideal for businesses l...","https://www.rightmove.co.uk/properties/167727617#/?channel=COM_LET","2025-10-02T16:39:28Z","","price_reduced","Marketed by Roger Hannah Ltd, Manchester","","53.488529","-2.094155","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/167727617/94751_5099LH_IMG_06_0000_max_476x317.jpeg"
"169691951","Tameside","Light Industrial","Unit 2A & 4 - Plantation Industrial Estate, Whitelands Road, Ashton-Under-Lyne, Greater Manchester","£2,167 pcm","From","","","2,665–3,875 sq. ft.","2665","3875","248","360","There are currently two units available on site, both are single storey, mid-terrace warehouses offering flexible accommodation suitable for a range of industrial, storage, or distribution uses. Each unit benefits from both a personnel entrance door and a dedicated loading bay. Unit 4 - Internall...","https://www.rightmove.co.uk/properties/169691951#/?channel=COM_LET","2025-11-25T12:56:37Z","","new","Marketed by Roger Hannah Ltd, Manchester","","53.484357","-2.083039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94751/169691951/94751_5169LH_IMG_05_0000_max_476x317.jpeg"
