id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"76761167","Torfaen","Serviced Office","Birch Suite, Mamhilad Park Estate, NP4","£355 pcm","","","","NO UP-FRONT FEES. HIGHLY FLEXIBLE TERMS. FIBRE INTERNET. Modern space with a kitchen in a popular business park offering workspaces with no minimum term. This thriving business community has a gym, nursery & café on site, along with ample free parking and our management team are based on-site. ","https://www.rightmove.co.uk/properties/76761167#/?channel=COM_LET","2018-10-29T16:02:51Z","","size_change","Marketed by Mamhilad Park Estate, Gwent","","51.71785","-3.00252","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_51_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_60_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_52_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_37_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_61_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_53_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_54_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_66_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_68_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_67_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_64_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_56_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_59_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_62_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_63_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61716/76761167/61716_Birch_IMG_65_0000_max_476x317.jpeg"
"87365283","Torfaen","Healthcare Facility","Pontnewydd, Cwmbran, Torfaen. NP44 1HN","£2,167 pcm","","","","Looking to rent, this one might be the property for you. 2 storey brick built detached property with parking to front and public car park to the rear. The property is secured with roller shutter to main doors and windows. The property is located in primarily a residential area with a number of lo...","https://www.rightmove.co.uk/properties/87365283#/?channel=COM_LET","2025-12-01T10:36:06Z","","new","Marketed by Davis & Sons, Newport","","51.662622","-3.039623","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87365283/230729_PRC13048_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87365283/230729_PRC13048_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87365283/230729_PRC13048_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87365283/230729_PRC13048_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87365283/230729_PRC13048_IMG_04_0000_max_476x317.jpeg"
"169766327","Torfaen","Light Industrial","Units 17-18, Afon Court, Bedwas House Industrial Estate, Bedwas, Caerphilly","£1,517 pcm","","","","Opportunity to let a 1,550 sq ft industrial / warehouse unit on a newly built trade park opposite Toolstation and adjacent to Europlas with shop front and customer car parking.","https://www.rightmove.co.uk/properties/169766327#/?channel=COM_LET","2025-11-27T09:47:33Z","","size_change","Marketed by Harris & Birt, Cardiff","","51.723552","-3.057451","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169766327/276692_34328091_IMG_05_0000_max_476x317.jpeg"
"169453139","Torfaen","Office","William Brown Close, Cwmbran, NP44 3AB","£4,298 pcm","","","2","Modern two story office building. Located on a highly sought after industrial park with easy access to the M4, Newport, Cardiff, Bristol and beyond. ","https://www.rightmove.co.uk/properties/169453139#/?channel=COM_LET","2025-11-18T16:01:53Z","","new","Marketed by Tintern Properties Ltd, Wales","","51.63251","-3.00857","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273008/169453139/273008_Unit1BreconCourtFirstFloor_IMG_05_0000_max_476x317.jpeg"
"167972249","Torfaen","Leisure Facility","Unit 5, M Cwmbran Leisure, Cwmbran","POA","","","","M Cwmbran Leisure is the main focal point and late night venue for the town situated between the 700,000 sq ft Cwmbran Shopping Centre and Cwmbran Rail Station. The Retail park offers an impressive 3,000 free car parking spaces.","https://www.rightmove.co.uk/properties/167972249#/?channel=COM_LET","2025-10-08T10:46:15Z","","size_change","Marketed by LCP, Commercial","","51.65485","-3.01949","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/167972249/229553_688d2f6f7341c7a96318fcec_2_283_IMG_00_0000_max_476x317.jpeg"
"169101740","Torfaen","Office","Vantage Point House, Ty Coch Industrial Estate, Ty Coch Way, Cwmbran, Torfaen, NP44","£4,558 pcm","","","","Open plan offices in Ty Coch Way, Cwmbran with 2 fully glazed meeting rooms. Car Park for 20 cars.","https://www.rightmove.co.uk/properties/169101740#/?channel=COM_LET","2025-11-07T09:12:11Z","","new","Marketed by M4 Property Consultants, Newport","","51.63855","-3.02274","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169101740/83430_Vantage_IMG_03_0000_max_476x317.jpeg"
"168966413","Torfaen","Warehouse","Unit 15, Avondale Industrial Estate, Cwmbran, NP44 1UG","£2,292 pcm","","","","Trade counter / warehouse unit available to let with roadside prominence located in the town of Cwmbran.","https://www.rightmove.co.uk/properties/168966413#/?channel=COM_LET","2025-11-04T12:07:01Z","","new","Marketed by RJ Chartered Surveyors, Cardiff","","51.6639","-3.018008","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296306/168966413/296306_303211-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296306/168966413/296306_303211-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296306/168966413/296306_303211-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296306/168966413/296306_303211-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296306/168966413/296306_303211-2_IMG_04_0000_max_476x317.jpeg"
"168776981","Torfaen","Warehouse","Lake View, Llantarnam Business Park, Cwmbran, Torfaen, NP44","£4,583 pcm","","","","The property provides a detached modern building providing high quality offices over two floors and warehouse accommodation to the rear. The property sits on a generous plot providing parking and yard areas. ","https://www.rightmove.co.uk/properties/168776981#/?channel=COM_LET","2025-10-30T09:50:44Z","","new","Marketed by M4 Property Consultants, Newport","","51.62966","-3.0076","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/168776981/83430_Lakeview_IMG_06_0000_max_476x317.jpeg"
"168708998","Torfaen","Office","Skew Fields, Pontypool, NP4 0XZ","POA","","","","First floor office to let in a prominent location in Pontypool. Office includes DDA compliant lift and 20 parking spaces","https://www.rightmove.co.uk/properties/168708998#/?channel=COM_LET","2025-10-28T14:54:47Z","","new","Marketed by Mileway Real Estate UK Limited, Cardiff","","51.6919","-3.0234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/168708998/98012_4zy2c2oNeBTbHYAL2zywnU_IMG_16_0000_max_476x317.jpeg"
"168693434","Torfaen","Distribution Warehouse","Unit  117, 118-119, Springvale Industrial Estate, Torfaen, NP44 5BD","POA","","","","Multi-let industrial/ trade units on Springvale industrial estate, an established industrial location.","https://www.rightmove.co.uk/properties/168693434#/?channel=COM_LET","2025-10-28T11:26:49Z","","new","Marketed by JLL, Cardiff - Industrial","","51.657578","-3.040774","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693434/291635_288629-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693434/291635_288629-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693434/291635_288629-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693434/291635_288629-2_IMG_03_0000_max_476x317.jpeg"
