id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150246788","Uttlesford","Serviced Office","Endeavour House 3rd Floor, Coopers End Road, Stansted, United Kingdom CM24 1SJ","£569 pcm","From","","4","108–11,905 sq. ft.","108","11905","10","1106","Private workspace for up to 2 in Stansted Airport. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/150246788#/?channel=COM_LET","2024-07-15T12:15:28Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.87965","0.24884","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150246788/129853_UK2ws4233_IMG_08_0000_max_476x317.jpeg"
"170014001","Uttlesford","Storage","Unit 8A, Ongar Road Trading Estate, Ongar Road, Dunmow, Essex, CM6 1EU","£1,083 pcm","","","","771 sq. ft.","771","771","72","72","A ground floor unit with first floor mezzanine on a well-established industrial estate.","https://www.rightmove.co.uk/properties/170014001#/?channel=COM_LET","2025-12-04T16:19:11Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.8651","0.36708","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170014001/110398_C2139f_IMG_06_0000_max_476x317.jpeg"
"170007320","Uttlesford","Storage","Unit 8D, Ongar Road Trading Estate, Ongar Road, Dunmow, Essex, CM6 1EU","£663 pcm","","","","457 sq. ft.","457","457","42","42","An open plan storage space on an established industrial estate in Dunmow.","https://www.rightmove.co.uk/properties/170007320#/?channel=COM_LET","2025-12-04T15:06:19Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.8651","0.36708","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170007320/110398_C2139e_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170007320/110398_C2139e_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/170007320/110398_C2139e_IMG_02_0000_max_476x317.jpeg"
"723058420121857","Uttlesford","Office","The New Barn, Felsted Business Centre, Felsted, CM6 3GY","£4,193 pcm","","","","1,368–2,875 sq. ft.","1368","2875","127","267","To Let - Office from 1,368 - 2,875 ft² - Felsted Business Centre","https://www.rightmove.co.uk/properties/723058420121857#/?channel=COM_LET","2025-12-04T14:55:33Z","","new","Marketed by Savills, Chelmsford Office","","51.848039","0.458486","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/723058420121857/232328_336517-2_IMG_05_0000_max_476x317.jpeg"
"169944398","Uttlesford","Warehouse","Newport","£1,600 pcm","Fixed Price","","","2,520 sq. ft.","2520","2520","234","234","Commercial warehouse to let in Newport, Saffron Walden. The warehouse measures 2,520 square feet and site on a secure site with gated access. The site benefits from its links to the A120 and M11. ","https://www.rightmove.co.uk/properties/169944398#/?channel=COM_LET","2025-12-03T09:30:12Z","","new","Marketed by Whirledge and Nott, Commercial","","51.97625","0.21407","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944398/173735_4957_IMG_06_0000_max_476x317.jpeg"
"169944392","Uttlesford","Office","Newport","£1,475 pcm","Fixed Price","","","1,180 sq. ft.","1180","1180","110","110","Office to let in Newport, Saffron Walden. The office measures 1,180 square feet and site on a secure site with gated access. The site benefits from its links to the A120 and M11. ","https://www.rightmove.co.uk/properties/169944392#/?channel=COM_LET","2025-12-03T09:30:09Z","","new","Marketed by Whirledge and Nott, Commercial","","51.97625","0.21407","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944392/173735_4969_IMG_07_0000_max_476x317.jpeg"
"169944380","Uttlesford","Storage","Newport","£375 pcm","Fixed Price","","","572 sq. ft.","572","572","53","53","Storage to let in Newport, Saffron Walden. The unit measures 572 square feet and site on a secure site with gated access. The site benefits from its links to the A120 and M11. ","https://www.rightmove.co.uk/properties/169944380#/?channel=COM_LET","2025-12-03T09:30:03Z","","new","Marketed by Whirledge and Nott, Commercial","","51.97625","0.21407","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944380/173735_4973_IMG_08_0000_max_476x317.jpeg"
"169944383","Uttlesford","Storage","Newport","£575 pcm","Fixed Price","","","991 sq. ft.","991","991","92","92","Storage/workshop to let in Newport, Saffron Walden. The unit measures 991 square feet and site on a secure site with gated access. The site benefits from its links to the A120 and M11. ","https://www.rightmove.co.uk/properties/169944383#/?channel=COM_LET","2025-12-03T09:30:06Z","","new","Marketed by Whirledge and Nott, Commercial","","51.97625","0.21407","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169944383/173735_4972_IMG_08_0000_max_476x317.jpeg"
"169926593","Uttlesford","Office","Wimbish","£1,250 pcm","Fixed Price","","","709 sq. ft.","709","709","66","66","Brand new office to let in Wimbish, Saffron Walden. The office measures 709 square feet and is located on a secure site with CCTV and a private access track. The site is linked to the M11 and A120.","https://www.rightmove.co.uk/properties/169926593#/?channel=COM_LET","2025-12-02T15:50:08Z","","new","Marketed by Whirledge and Nott, Commercial","","52.01441","0.32438","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169926593/173735_4964_IMG_09_0000_max_476x317.jpeg"
"169889684","Uttlesford","Warehouse","CB10","£600 pcm","","","","800 sq. ft.","800","800","74","74"," Barn 4a Field Farm, Great Chesterford, Saffron Walden, Essex, CB10 1RP 74.32 m2 (800 sq ft)Suitable for storage spaceAmple ParkingYard directly off A11£7,200 plus Vat per annum ","https://www.rightmove.co.uk/properties/169889684#/?channel=COM_LET","2025-12-01T16:49:10Z","","new","Marketed by Preview Property Services, Haverhill","","52.08575","0.20621","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dd741c234/169889684/dd741c23477f075513c112615623c16b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c4f93f024/169889684/c4f93f0241378190df471fa1e6cca8f2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/804696c31/169889684/804696c3184545c1d66b78daefec223a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4c3aec9b/169889684/d4c3aec9bb88f91f3e33dbcc57e0d4e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2e7234061/169889684/2e7234061675dada03df1992aece9335_max_476x317.jpeg"
