id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"155160317","Vale of Glamorgan","Light Industrial","Ty Verlon Industrial Estate, Barry, CF63 2BE","£1,495 pcm","From","","","Industrial unit to let in Barry. The unit benefits from roller shutter doors, three-phase electricity and car parking.","https://www.rightmove.co.uk/properties/155160317#/?channel=COM_LET","2024-11-20T08:44:39Z","","size_change","Marketed by Mileway Real Estate UK Limited, Cardiff","","51.4148","-3.2344","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_07_0001_max_476x317.jpeg"
"169956692","Vale of Glamorgan","Retail Property (high street)","Holton Road Shop to Let","£725 pcm","","1","1","Ground Floor Front Commercial Unit – Holton Road, Barry Fantastic Shop Front in Prime High Street Position – Ideal for Retail, Beauty, Nails, Barbers & MoreRental Price: £725Available From:  ImmedaitelySituated directly on bustling Holton Road, this ground floor front-facing c...","https://www.rightmove.co.uk/properties/169956692#/?channel=COM_LET","2025-12-03T12:47:41Z","","new","Marketed by Nova Lets, Cardiff","","51.406338","-3.263399","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9fb23048a/169956692/9fb23048abb9d4fe44434c4ee53ccc82_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7802aec0d/169956692/7802aec0d61460025f241e21fc68cf51_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/837bdd8d5/169956692/837bdd8d59d109513690d1e33afa5820_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5813233be/169956692/5813233bece3877bf80570fcabb94e08_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/468db583e/169956692/468db583ec7dc48beee34df8eb0e0344_max_476x317.jpeg"
"169956125","Vale of Glamorgan","Retail Property (high street)","Holton Road Shop and Coach House ","£795 pcm","","1","1"," Prime Ground Floor Commercial Unit – Holton Road, Barry ?Spacious Shop with Separate Coach House – Ideal for Retail, Barbers, Salon & More Rental Price: £795 per month Available From: immediatelyLocated on the busy and popular Holton Road in Barry, this ground floor rear commer...","https://www.rightmove.co.uk/properties/169956125#/?channel=COM_LET","2025-12-03T12:39:10Z","","new","Marketed by Nova Lets, Cardiff","","51.406338","-3.263399","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285779/169956125/285779_12795373_IMG_06_0000_max_476x317.jpeg"
"155160317","Vale of Glamorgan","Light Industrial","Ty Verlon Industrial Estate, Barry, CF63 2BE","£1,495 pcm","From","","","Industrial unit to let in Barry. The unit benefits from roller shutter doors, three-phase electricity and car parking.","https://www.rightmove.co.uk/properties/155160317#/?channel=COM_LET","2024-11-20T08:44:39Z","","size_change","Marketed by Mileway Real Estate UK Limited, Cardiff","","51.4148","-3.2344","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155160317/98012_1v5V6yLcHkrykwGhokLjh7_IMG_07_0001_max_476x317.jpeg"
"169908881","Vale of Glamorgan","Retail Property (high street)","56 Holton Road, Barry, Vale Of Glamorgan, CF63","£1,250 pcm","","","","The property comprises a ground floor retail unit of rectangular shape, with an additional lower ground floor area, suitable for retail / storage / ancillary accommodation. Access is granted directly of Holton Road, with additional access being provided via a rear fire escape on the lower ground ...","https://www.rightmove.co.uk/properties/169908881#/?channel=COM_LET","2025-12-02T11:07:45Z","","new","Marketed by Brinsons Limited, Caerphilly","","51.405251","-3.269274","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169908881/242363_2925LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169908881/242363_2925LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169908881/242363_2925LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169908881/242363_2925LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169908881/242363_2925LH_IMG_04_0000_max_476x317.jpeg"
"169861595","Vale of Glamorgan","Distribution Warehouse","TO LET: Llandough Trading Estate, Penarth Road, Cardiff, CF11 8RR","£3,869 pcm","","","","Industrial / Warehouse Unit - To Let Per sq ft £7 per sq ft The mid terrace unit is due to be fully refurbished and will include the following specification: - Steel portal frame construction - Kitchenette and WC facilities - LED Lighting throughout - Single storey offi...","https://www.rightmove.co.uk/properties/169861595#/?channel=COM_LET","2025-12-01T10:51:57Z","","new","Marketed by Knight Frank, Cardiff - Commercial","","51.455242","-3.200801","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1fa04efd1/169861595/1fa04efd1d7f0633d881a139841df419_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5da280913/169861595/5da28091322f1bc0cf77b89dcca238ac_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2137c0298/169861595/2137c02983f3e63c3b286de64c65ad5c_max_476x317.jpeg"
"154333937","Vale of Glamorgan","Industrial Development","Unit 21, Ty Verlon Industrial Estate, Cardiff Road, Barry, CF63","£1,309 pcm","","","","Light industrial unit suitable for warehousing / Trade Counter Per sq ft £7.5 per sq ft Unit 21 Ty Verlon Industrial Estate is a well-positioned terraced light industrial / trade / warehouse unit located off Cardiff Road, Barry within a well established trade location. The sub...","https://www.rightmove.co.uk/properties/154333937#/?channel=COM_LET","2024-10-29T12:38:24Z","","price_reduced","Marketed by Knight Frank, Cardiff - Commercial","","51.414799","-3.232587","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/154333937/155495_CAC012475913_IMG_00_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/154333937/155495_CAC012475913_IMG_01_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/154333937/155495_CAC012475913_IMG_02_0012_max_476x317.jpeg"
"163060487","Vale of Glamorgan","Office","Hood Road, Barry, Vale Of Glamorgan, The, CF62","£495 pcm","From","","","Office Space at GOODSHEDS, BARRY - join a vibrant container village. Ideal for START-UPS, SMALL BUSINESSES, and WELLNESS BRANDS. Includes PREMIUM WI-FI, SHARED TOILETS & KITCHENS, and DOG FRIENDLY. Close to TRAIN STATION. ENQUIRE TODAY!","https://www.rightmove.co.uk/properties/163060487#/?channel=COM_LET","2025-06-09T15:55:25Z","","new","Marketed by Loft Co, Penarth","","51.3991","-3.27916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_10_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_17_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_15_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_13_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_19_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_18_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_16_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163060487/290711_GSCON20_IMG_11_0000_max_476x317.png"
"163718504","Vale of Glamorgan","Retail Property (high street)","Hood Road, Barry, Vale Of Glamorgan, The, CF62","£400 pcm","From","","","Flexible retail, beauty or wellness space at GOODSHEDS, BARRY - join our vibrant community of independents on the URBAN HIGH STREET. High footfall, marketing support, shared facilities and event space. Perfect for growing brands. Enquire today and make it yours!","https://www.rightmove.co.uk/properties/163718504#/?channel=COM_LET","2025-06-24T11:22:25Z","","new","Marketed by Loft Co, Penarth","","51.3991","-3.27916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_13_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_11_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/163718504/290711_GoodshedsGardens1_IMG_10_0000_max_476x317.png"
"721588683639233","Vale of Glamorgan","Mixed Use","Storage Space with Offices, Woodland Place, Penarth, Cardiff, CF64 2EX","£1,000 pcm","","","","Storage space and Office","https://www.rightmove.co.uk/properties/721588683639233#/?channel=COM_LET","2025-11-26T09:52:03Z","","new","Marketed by Cooke & Arkwright Limited, Industrial Agency","","51.437592","-3.176321","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/721588683639233/250439_336619-2_IMG_08_0000_max_476x317.jpeg"
