id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168960092","Walsall","Light Industrial","Bescot Crescent, Walsall, West Midlands, WS1","£2,900 pcm","From","","","Positioned on a highly visible corner at Wallows Lane and Bescot Crescent, Greetings House lies just three miles south of Walsall town centre. Immediate access to Broadway West (A4148) and Bescot Road provides a direct route to Junction 9 of the M6, delivering seamless connections to the wider regio","https://www.rightmove.co.uk/properties/168960092#/?channel=COM_LET","2025-11-04T11:03:32Z","","new","Marketed by Bluebell Parking, The Squires","","52.56786","-1.9945","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ce602382b/168960092/ce602382bbfb6ec48e99442d9730271c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccd27c25c/168960092/ccd27c25cb1273f5a620e124ea148eed_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/672a1240f/168960092/672a1240f753003e7afaf1bd4c8c4de6_max_476x317.jpeg"
"169957001","Walsall","Retail Property (high street)","64 Bridge Street, Walsall, WS1 1JG","£833 pcm","","","","Retail Unit in Walsall Town Centre","https://www.rightmove.co.uk/properties/169957001#/?channel=COM_LET","2025-12-03T12:51:54Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.584546","-1.977739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957001/103822_327798-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957001/103822_327798-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957001/103822_327798-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957001/103822_327798-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957001/103822_327798-2_IMG_04_0000_max_476x317.jpeg"
"169906667","Walsall","Retail Property (high street)","Bridge Street, Walsall, West Midlands, WS1","£1,000 pcm","","","","A Ground Floor Town Centre Lock Up Retail Shop","https://www.rightmove.co.uk/properties/169906667#/?channel=COM_LET","2025-12-02T10:41:48Z","","new","Marketed by Bond Wolfe, Commercial Lettings","","52.58476","-1.98092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239894/169906667/239894_REILJW_IMG_05_0000_max_476x317.jpeg"
"169903484","Walsall","Office","Middlemore Lane West, Walsall, West Midlands, WS9","£1,000 pcm","","","","1,000 SQFT OFFICE SPACE AVAILABLE IN ESTABLISHED INDUSTRIAL LOCATION","https://www.rightmove.co.uk/properties/169903484#/?channel=COM_LET","2025-12-02T09:45:32Z","","new","Marketed by Western Trading Limited, Birmingham","","52.60317","-1.93233","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260078/169903484/260078_ALDoffices_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260078/169903484/260078_ALDoffices_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260078/169903484/260078_ALDoffices_IMG_00_0000_max_476x317.jpeg"
"169886309","Walsall","Office","WEDGE STREET, 15A WEDGE STREET, WALSALL","£1,000 pcm","","","","Ground and First Floor Offices set behind a tarmacadan surfaced forecourt providing off-road parking for three cars   1088 sq.ft. (101.08m²)","https://www.rightmove.co.uk/properties/169886309#/?channel=COM_LET","2025-12-01T15:53:36Z","","new","Marketed by Fraser Wood Commercial, Walsall","","52.584526","-1.97463","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70533/169886309/70533_992_IMG_08_0000_max_476x317.jpeg"
"168646970","Walsall","Retail Property (high street)","Walsall","£500 pcm","","","","Candlin and Co Ltd are delighted to offer for let this spacious first floor 3 room furnished office located above retail shops on the first floor in the Walsall arcade The premises is spread across one floor and is split into a small and large reception area, with 2 offices approx 10 ft ...","https://www.rightmove.co.uk/properties/168646970#/?channel=COM_LET","2025-10-27T14:23:56Z","","price_reduced","Marketed by CANDLIN & CO LTD, Walsall","","52.583568","-1.982511","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276863/168646970/276863_34267355_IMG_21_0000_max_476x317.jpeg"
"721781883781904","Walsall","Distribution Warehouse","Spark, Reservoir Place,, Walsall, WS2 9RX","POA","","","","Detailed consent in place - New 188,000 sq ft unit available on ""Build to Suit"" basis","https://www.rightmove.co.uk/properties/721781883781904#/?channel=COM_LET","2025-11-27T11:56:07Z","","size_change","Marketed by BOX 4 REAL ESTATE, Birmingham","","52.576817","-2.007592","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781883781904/289985_296105-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781883781904/289985_296105-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781883781904/289985_296105-2_IMG_02_0000_max_476x317.jpeg"
"721781961378480","Walsall","Distribution Warehouse","Unit G Spark, Reservoir Place,, Walsall, WS2 9RX","POA","","","","New 18,000 sq ft Industrial & Logistics unit fronting onto the M6 Motorway","https://www.rightmove.co.uk/properties/721781961378480#/?channel=COM_LET","2025-11-27T11:56:04Z","","size_change","Marketed by BOX 4 REAL ESTATE, Birmingham","","52.576817","-2.007592","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781961378480/289985_302444-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781961378480/289985_302444-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781961378480/289985_302444-2_IMG_02_0000_max_476x317.jpeg"
"721781879708945","Walsall","Distribution Warehouse","Spark, Reservoir Place,, Walsall, WS2 9RX","POA","","","","New units available in Walsall on a design & build basis","https://www.rightmove.co.uk/properties/721781879708945#/?channel=COM_LET","2025-11-27T11:56:04Z","","size_change","Marketed by BOX 4 REAL ESTATE, Birmingham","","52.576817","-2.007592","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781879708945/289985_295958-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781879708945/289985_295958-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289985/721781879708945/289985_295958-2_IMG_00_0000_max_476x317.jpeg"
"169396640","Walsall","Storage","Frederick Street, Walsall, West Midlands, WS2","£350 pcm","","","","TOWN CENTRE LOCATION] OUTSIDE SPACE FOR LOADING/UNLOADING] SECURE GATED]","https://www.rightmove.co.uk/properties/169396640#/?channel=COM_LET","2025-11-17T11:32:53Z","","new","Marketed by First Tier Properties (UK) Ltd, Walsall","","52.58396","-1.99022","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287048/169396640/287048_UNIT6WS2_IMG_07_0000_max_476x317.jpeg"
