id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"119654243","Waltham Forest","Office","490 Larkshall Road, Highams Park, Chingford, London, E4","£400 pcm","","","","150–3,579 sq. ft.","150","3579","14","332","*** Video Tour On Request*** An impressive, well presented 132 sq ft first floor office suite located at 490 Larkshall Road a low rise purpose built modern office block located adjacent to Highams Park mainline railway station providing frequent rail services to London Liverpool Street [23mins].","https://www.rightmove.co.uk/properties/119654243#/?channel=COM_LET","2022-02-07T16:47:22Z","","size_change","Marketed by Hastings International Commercial, London","","51.608038","-0.000875","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194570/119654243/194570_BOR210180_L_IMG_10_0000_max_476x317.jpeg"
"722866560293105","Waltham Forest","Light Industrial","Unit 25 - Forest Business Park, Leyton, London, E10 7FB","£3,917 pcm","","","","6,000 sq. ft.","6000","6000","557","557","Fully Equipped Food Production & Storage Premises – Leyton E10","https://www.rightmove.co.uk/properties/722866560293105#/?channel=COM_LET","2025-12-03T11:18:08Z","","new","Marketed by TARN AND TARN LIMITED, London","","51.571826","-0.040856","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866560293105/281339_299414-2_IMG_23_0000_max_476x317.jpeg"
"722866413491601","Waltham Forest","Retail Property (high street)","832-836 High Road, Leyton, London, E10 6AE","£16,667 pcm","","","","9,940 sq. ft.","9940","9940","923","923","Whole Self-Contained Commercial Building To Let","https://www.rightmove.co.uk/properties/722866413491601#/?channel=COM_LET","2025-12-03T11:17:09Z","","new","Marketed by TARN AND TARN LIMITED, London","","51.575114","-0.011895","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866413491601/281339_193078-2_IMG_11_0000_max_476x317.jpeg"
"169880423","Waltham Forest","Warehouse","Unit 2A 210 Church Road, Unit 2A, 210 Church Road, London, E10 7JQ","POA","","","","7,050 sq. ft.","7050","7050","655","655","Newly Refurbished 7,050 sqft Industrial Warehouse TO LET","https://www.rightmove.co.uk/properties/169880423#/?channel=COM_LET","2025-12-01T14:28:16Z","","new","Marketed by Levy Real Estate LLP, Industrial","","51.565102","-0.023016","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/169880423/105224_337800-2_IMG_42_0000_max_476x317.jpeg"
"719354273111472","Waltham Forest","Light Industrial","12 Rigg Approach, Leyton, London, E10 7QN","£29,167 pcm","","","","15,000–28,257 sq. ft.","15000","28257","1394","2625","Light Industrial / Warehouse / Factor Building located off Lea Bridge Road, Leyton, E10","https://www.rightmove.co.uk/properties/719354273111472#/?channel=COM_LET","2025-11-27T01:51:04Z","","price_reduced","Marketed by SMC Brownill Vickers, South Yorkshire","","51.566412","-0.038708","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719354273111472/215657_216188-2_IMG_14_0000_max_476x317.jpeg"
"721779576915729","Waltham Forest","Light Industrial","Land And Buildings, Joseph Ray Road, Leytonstone, E11 4RA","POA","","","","117,870 sq. ft.","117870","117870","10950","10950","Industrial||Industrial / Warehouse||Industrial / Storage||Land availability in Leytonstone","https://www.rightmove.co.uk/properties/721779576915729#/?channel=COM_LET","2025-11-27T11:11:10Z","","new","Marketed by Newmark, West End - Industrial","","51.564491","0.007664","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/acff0eaa4/721779576915729/acff0eaa46debe863d4df19b7890f219_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/50df1d198/721779576915729/50df1d19895aaef76a035e363bb69f4c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52ad4d86c/721779576915729/52ad4d86c6cb1ced016f57765f649dcb_max_476x317.jpeg"
"169763171","Waltham Forest","Light Industrial","72 Norlington Road, Leyton, London, E10","£11,333 pcm","","","","17,000 sq. ft.","17000","17000","1579","1579","Comprises large open plan warehouse (B8 use class). Suitable for variety of uses including workshop & storage.","https://www.rightmove.co.uk/properties/169763171#/?channel=COM_LET","2025-11-27T07:20:15Z","","new","Marketed by Blue Alpine, London","","51.56823","-0.00509","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169763171/230087_72norlingtonleyton_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169763171/230087_72norlingtonleyton_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169763171/230087_72norlingtonleyton_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169763171/230087_72norlingtonleyton_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169763171/230087_72norlingtonleyton_IMG_04_0000_max_476x317.jpeg"
"131489663","Waltham Forest","Light Industrial","Heybridge Way, Lea Bridge Road, Leyton, London, E10 7NQ","POA","","","","897–2,111 sq. ft.","897","2111","83","196","Light industrial warehouse unit to let","https://www.rightmove.co.uk/properties/131489663#/?channel=COM_LET","2023-02-07T13:42:50Z","","size_change","Marketed by Mileway Real Estate UK Limited, London","","51.5697","-0.0313","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85240/131489663/85240_5K31UB92E398WMo4o0X2E9_IMG_20_0000_max_476x317.jpeg"
"169401023","Waltham Forest","Commercial Property","Hoe Street, London","£1,100 pcm","","","","","","","","","Nestled in the vibrant area of Hoe Street, London, this commercial shop presents an excellent opportunity for businesses seeking a prime location. With its strategic positioning, the property benefits from high foot traffic and excellent visibility, making it an ideal spot for retail or service-o...","https://www.rightmove.co.uk/properties/169401023#/?channel=COM_LET","2025-11-25T11:23:51Z","","new","Marketed by Relm Estates, London","","51.589998","-0.017843","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169401023/296867_34257604_IMG_05_0000_max_476x317.jpeg"
"169444931","Waltham Forest","Office","Markhouse Avenue, Walthamstow, E17","£450 pcm","","","","101 sq. ft.","101","101","9","9","INCLUSIVE OF UTILITY BILLS Ground floor, 100 square feet office within a small gated development located in Waltham Abbey.","https://www.rightmove.co.uk/properties/169444931#/?channel=COM_LET","2025-11-18T13:05:09Z","","price_reduced","Marketed by PEACH PROPERTIES (UK) LIMITED, London","","51.576999","-0.03291","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/169444931/271343_34311971_IMG_06_0000_max_476x317.jpeg"
