id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150288521","Wandsworth","Serviced Office","London, 265-269 Wimbledon Park Road, SW19 6NW","£709 pcm","From","","4","108–5,705 sq. ft.","108","5705","10","530","Private workspace for up to 2 in HQ London, Wimbledon Park Road. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/150288521#/?channel=COM_LET","2024-07-16T11:46:12Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.44407","-0.20707","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150288521/129853_UK2ws7731_IMG_03_0000_max_476x317.jpeg"
"723089305014064","Wandsworth","Retail Property (high street)","Hunter Wing, St Georges Medical School, Tooting, SW17 0RE","£1,535 pcm","","","","1,841 sq. ft.","1841","1841","171","171","E Class lease for sale situated on the Hunter Wing, St George's Medical School in Tooting. The shop is suitable for a variety of uses.","https://www.rightmove.co.uk/properties/723089305014064#/?channel=COM_LET","2025-12-04T16:38:02Z","","new","Marketed by Brasier Freeth, London","","51.427798","-0.175228","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723089305014064/254312_302542-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723089305014064/254312_302542-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723089305014064/254312_302542-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723089305014064/254312_302542-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723089305014064/254312_302542-2_IMG_04_0000_max_476x317.jpeg"
"170000627","Wandsworth","Warehouse","Unit 15, Falcon Court, Earlsfield, SW17 0JH","£6,767 pcm","","","","2,953 sq. ft.","2953","2953","274","274","A secure modern business estate with good loading and car parking provision.","https://www.rightmove.co.uk/properties/170000627#/?channel=COM_LET","2025-12-04T13:41:26Z","","new","Marketed by Cogent Real Estate, London","","51.434216","-0.186904","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/170000627/182522_345829-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/170000627/182522_345829-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/170000627/182522_345829-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/170000627/182522_345829-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/170000627/182522_345829-2_IMG_04_0000_max_476x317.jpeg"
"169548089","Wandsworth","Warehouse","Unit 9, Falcon Court, Earlsfield, London, SW17 0JH","£5,188 pcm","","","","2,264 sq. ft.","2264","2264","210","210","A secure modern business estate with good loading and car parking provision.","https://www.rightmove.co.uk/properties/169548089#/?channel=COM_LET","2025-11-20T17:04:03Z","","price_reduced","Marketed by Cogent Real Estate, London","","51.434167","-0.18692","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169548089/182522_285867-2_IMG_06_0000_max_476x317.jpeg"
"723048655899409","Wandsworth","Mixed Use","Riverside House, 26 Osiers Road, Wandsworth, London, SW18 1NH","£89,583 pcm","","","","3,760–21,500 sq. ft.","3760","21500","349","1997","Riverside House has views of the river and is located within a thriving business community on Osiers Wharf.","https://www.rightmove.co.uk/properties/723048655899409#/?channel=COM_LET","2025-12-04T11:19:32Z","","new","Marketed by Savills, Margaret Street - Offices","","51.461972","-0.198661","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048655899409/210155_22146-2_IMG_08_0000_max_476x317.jpeg"
"169965524","Wandsworth","Industrial Development","Falcon Court, St Martins Way, Earlsfield, London, SW17","POA","","","","3,597 sq. ft.","3597","3597","334","334","Rarely available, centrally located, high quality business unit A well laid out modern estate with good loading and car parking provision. The estate comprises eight units, built in the late 1980's, of steel portal frame construction, steel profiled elevations, roof sheeting and attractive br...","https://www.rightmove.co.uk/properties/169965524#/?channel=COM_LET","2025-12-03T15:21:36Z","","new","Marketed by Knight Frank, Logistics and Industrial - Commercial","","51.4341","-0.1875","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/169965524/155477_LIC012516244_IMG_07_0000_max_476x317.jpeg"
"169959206","Wandsworth","Office","SWG House, 4 Keswick Road, Putney, SW15 2JN","£19,500 pcm","","","","6,500 sq. ft.","6500","6500","604","604","Self-contained office with allocated basement parking and outdoor terrace to let in Putney, SW15","https://www.rightmove.co.uk/properties/169959206#/?channel=COM_LET","2025-12-03T13:47:25Z","","new","Marketed by Frost Meadowcroft LTD, London","","51.458522","-0.210144","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/169959206/265112_334788-2_IMG_09_0000_max_476x317.jpeg"
"157528634","Wandsworth","Light Industrial","Saint Martin's Way, London SW17 0JH, UK","£7,083 pcm","","","","3,597 sq. ft.","3597","3597","334","334","Falcon Court is a secure, modern business estate comprising eight steel portal frame units with steel-profiled elevations and attractive brick detailing, all set beneath mono-pitched roofs. The estate benefits from excellent loading and generous car parking. ","https://www.rightmove.co.uk/properties/157528634#/?channel=COM_LET","2025-01-29T15:40:17Z","","size_change","Marketed by Capital Industrial, London","","51.433927","-0.186952","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_19_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/157528634/161303_ca48250c-a372-4e5d-baaa-8826cd749ee0_IMG_06_0000_max_476x317.jpeg"
"169114856","Wandsworth","Office","OSMO Battersea, Nine Elms Park, London, SW11 7EU","POA","","","","914–175,667 sq. ft.","914","175667","85","16320","Office Space Meets Outdoors 166,000 sq ft of Contemporary Workspace Time to plant your roots and join the greener work life at OSMO. 166,000 sq ft of contemporary, flora-filled flexible office space nestled comfortably between the bustling Battersea Power Station and Vauxhall's new Linear Par...","https://www.rightmove.co.uk/properties/169114856#/?channel=COM_LET","2025-11-07T12:27:30Z","","size_change","Marketed by Knight Frank, London Offices (City) - Commercial","","51.48157","-0.136411","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_00_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_01_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_02_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_03_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_04_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_05_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_06_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_07_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_08_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155471/169114856/155471_CPD261930_IMG_09_0005_max_476x317.jpeg"
"169894727","Wandsworth","Warehouse","Unit 3 Falcon Court, Earlsfield, London, SW17 0JH","£7,089 pcm","","","","3,597 sq. ft.","3597","3597","334","334","A secure modern business estate with good loading and car parking provision.","https://www.rightmove.co.uk/properties/169894727#/?channel=COM_LET","2025-12-01T18:21:32Z","","new","Marketed by Cogent Real Estate, London","","51.434216","-0.186904","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169894727/182522_345513-2_IMG_05_0000_max_476x317.jpeg"
