id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"136124303","West Midlands","Light Industrial","Unit 2E Masonry Trading Estate, Bloxwich Road, Walsall, WS2 8BS","£3,333 pcm","","","","6,207 sq. ft.","6207","6207","577","577","Modern industrial unit available to let, extending to approximately 6,207 sq ft. The property is located on Masonry Trading Estate, just 2 miles from J10 of the M6. ","https://www.rightmove.co.uk/properties/136124303#/?channel=COM_LET","2023-06-30T14:18:22Z","","new","Marketed by GOOLD ESTATES (DEVELOPMENTS) LTD, Oldbury","","52.59708","-1.98761","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5fa1432f0/136124303/5fa1432f001307079c3db62b67fc9ae1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c67a39cb2/136124303/c67a39cb2ba40de1898aa168953942d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9d195f4d6/136124303/9d195f4d607c8dac7738fbc355bffbc7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/653f2614d/136124303/653f2614d8a6c1bff809c19cbafd2f9a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af6ecc177/136124303/af6ecc177e4053f1d8d9e24892e3bd2d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a9b2b89b/136124303/7a9b2b89b7bb30d4715a2c5dc3cbbda4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/526a2eb4b/136124303/526a2eb4b8c4ebd54b5f52667d25db44_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41cdae373/136124303/41cdae37344e3104e2c98be2c117195d_max_476x317.jpeg"
"170013956","West Midlands","Office","14 James Road, Tyseley, Birmingham, B11 2BA","£1,208 pcm","","","","1,550 sq. ft.","1550","1550","144","144","Prominent Trade Counter with First Floor Office Space and Car Parking","https://www.rightmove.co.uk/properties/170013956#/?channel=COM_LET","2025-12-04T16:13:38Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.459731","-1.8399","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/170013956/103822_345853-2_IMG_06_0000_max_476x317.jpeg"
"170008469","West Midlands","Office","28 Pickford Street, Birmingham, West Midlands, B5 5QH","£2,292 pcm","","","","1,860 sq. ft.","1860","1860","173","173","This second-floor office suite is accessed via stairs or passenger lift and offers modern open planned accommodation that benefits from 10 allocated car parking spaces. Occupiers will also have use of a large communal kitchen and on-site gym: conference facilities are also available at a small ad...","https://www.rightmove.co.uk/properties/170008469#/?channel=COM_LET","2025-12-04T15:16:02Z","","new","Marketed by Creative Retail, Birmingham","","52.478931","-1.884915","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/170008469/191489_430LH_IMG_09_0000_max_476x317.jpeg"
"723059171063952","West Midlands","Office","3 Brindleyplace, Birmingham, B1 2JB","£32,288 pcm","","","","11,905–13,595 sq. ft.","11905","13595","1106","1263","A striking building offering high quality office space overlooking Central Square in an enviable canalside location.","https://www.rightmove.co.uk/properties/723059171063952#/?channel=COM_LET","2025-12-04T14:56:27Z","","new","Marketed by Savills, Birmingham - Office","","52.478356","-1.913452","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059171063952/76455_18662-2_IMG_07_0000_max_476x317.jpeg"
"723059166931120","West Midlands","Office","4 Brindleyplace, Birmingham, B1 2JB","£9,714 pcm","","","","4,090 sq. ft.","4090","4090","380","380","Experience working life in one of Brindleyplace’s premier buildings, 4 Brindleyplace, located at the beating heart of the estate overlooking","https://www.rightmove.co.uk/properties/723059166931120#/?channel=COM_LET","2025-12-04T14:56:23Z","","size_change","Marketed by Savills, Birmingham - Office","","52.478238","-1.9138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059166931120/76455_18661-2_IMG_03_0000_max_476x317.jpeg"
"723059158320288","West Midlands","Office","158 Edmund Street, Birmingham, B3 2HB","£3 pcm","","","","903–5,252 sq. ft.","903","5252","84","488","158 Edmund Street offers boutique office accommodation in the heart of Birmingham’s business community.","https://www.rightmove.co.uk/properties/723059158320288#/?channel=COM_LET","2025-12-04T14:56:25Z","","new","Marketed by Savills, Birmingham - Office","","52.482758","-1.90013","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059158320288/76455_18657-2_IMG_09_0000_max_476x317.jpeg"
"723059147836432","West Midlands","Office","Enterprise Wharf, Innovation Birmingham, Birmingham, B7 4BH","£273,609 pcm","","","","1,500–117,261 sq. ft.","1500","117261","139","10894","Birmingham's first fully SMART-enabled building at the gateway to the city.","https://www.rightmove.co.uk/properties/723059147836432#/?channel=COM_LET","2025-12-04T14:56:24Z","","new","Marketed by Savills, Birmingham - Office","","52.488656","-1.887221","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059147836432/76455_18636-2_IMG_16_0000_max_476x317.jpeg"
"723059200326224","West Midlands","Office","63 Church Street, Birmingham, B3 2DP","£5,624 pcm","","","","2,172–3,749 sq. ft.","2172","3749","202","348","High quality, refurbished Grade A offices in the heart of Birmingham's Business District.","https://www.rightmove.co.uk/properties/723059200326224#/?channel=COM_LET","2025-12-04T14:56:21Z","","new","Marketed by Savills, Birmingham - Office","","52.483212","-1.901474","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059200326224/76455_18669-2_IMG_09_0000_max_476x317.jpeg"
"723059152092752","West Midlands","Office","1 Newhall Street, Birmingham, B3 3NH","£9,409 pcm","","","","1,300–3,226 sq. ft.","1300","3226","121","300","A comprehensively refurbished Grade A office building situated in the heart of Birmingham's CBD.","https://www.rightmove.co.uk/properties/723059152092752#/?channel=COM_LET","2025-12-04T14:56:21Z","","new","Marketed by Savills, Birmingham - Office","","52.481099","-1.901324","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059152092752/76455_18641-2_IMG_10_0000_max_476x317.jpeg"
"723059162631648","West Midlands","Office","Oozells Building, 9 Brindley Place, Birmingham, B1 2JB","£122,405 pcm","","","","4,000–51,539 sq. ft.","4000","51539","372","4788","Prime Grade A office space located in the heart of the Brindleyplace estate offering conventional and bespoke lease options.","https://www.rightmove.co.uk/properties/723059162631648#/?channel=COM_LET","2025-12-04T14:56:21Z","","new","Marketed by Savills, Birmingham - Office","","52.477243","-1.913143","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76455/723059162631648/76455_18660-2_IMG_08_0000_max_476x317.jpeg"
