id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"154702547","Westminster","Serviced Office","27 Hill Street, London","£2,456 pcm","From","","","131–461 sq. ft.","131","461","12","43","Heart of London Located in Mayfair situated just 5 minutes from Green Park Station and these offices at Hill Street are in a fantastic location to provide solutions for clients at every stage of their business growth, from excellent value start-up units to premium offices.","https://www.rightmove.co.uk/properties/154702547#/?channel=COM_LET","2024-11-07T11:24:39Z","","new","Marketed by Office Freedom, London","","51.508602","-0.148619","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/154702547/237980_88770-1_IMG_07_0000_max_476x317.png"
"704931485641569","Westminster","Office","Great Western Studios, 65 Alfred Road, London, W2 5EU","£35,204 pcm","","","","577–7,100 sq. ft.","577","7100","54","660","Great Western Studios at 65 Alfred Road, W2 offers high quality studios from 1,000 sq ft to 5,000 sq ft on flexible terms","https://www.rightmove.co.uk/properties/704931485641569#/?channel=COM_LET","2025-10-23T11:16:11Z","","size_change","Marketed by Sanderson Weatherall, London","","51.521197","-0.196334","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/704931485641569/261929_302459-2_IMG_05_0000_max_476x317.jpeg"
"723052091032193","Westminster","Office","The Metcalf, 83 Pall Mall, London, SW1Y 5ES","£337,635 pcm","","","","1,818–30,012 sq. ft.","1818","30012","169","2788","NOW AVAILABLE - 42,254 sq ft of best in class office space","https://www.rightmove.co.uk/properties/723052091032193#/?channel=COM_LET","2025-12-04T13:55:16Z","","new","Marketed by Savills, West End Offices","","51.505865","-0.135377",""
"723051818378385","Westminster","Mixed Use","Former Sundeala Site, Middle Mill, Cam, Dursley, GL11 5LQ","POA","","","","7,144–71,444 sq. ft.","7144","71444","664","6637","Opportunity for industrial owner / occupier relocation or for mixed use re-development","https://www.rightmove.co.uk/properties/723051818378385#/?channel=COM_LET","2025-12-04T13:45:07Z","","new","Marketed by Savills, Bristol Industrial","","51.509865","-0.118092",""
"723050207766369","Westminster","Office","Greycoat Stores, 10 Greycoat Place, Westminster, SW1P 1SB","£306,329 pcm","","","","5,086–35,009 sq. ft.","5086","35009","473","3252","80,000 sq ft of re-invented workspace launching June 2023","https://www.rightmove.co.uk/properties/723050207766369#/?channel=COM_LET","2025-12-04T12:40:08Z","","new","Marketed by Savills, West End Offices","","51.495848","-0.134113","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050207766369/218165_102460-2_IMG_15_0000_max_476x317.jpeg"
"167303306","Westminster","Office","Duke Street, Mayfair","£4,167 pcm","","","","","","","","","** OFFICE SPACE AVAILABLE FOR RENT** Don't miss this unique opportunity to secure an office space nestled in the vibrant heart of London's West End W1U, mere steps from the bustling Oxford Street and Bond Street.","https://www.rightmove.co.uk/properties/167303306#/?channel=COM_LET","2025-09-23T11:52:01Z","","price_reduced","Marketed by Alex Crown Lettings & Estate Agents, Islington","","51.51589","-0.15266","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/167303306/102122_8420_IMG_11_0000_max_476x317.jpeg"
"152244056","Westminster","Office","3 Cavendish Square, London, W1G 0LB","£8,619 pcm","","","","985–2,638 sq. ft.","985","2638","92","245","Period offices available on Cavendish Square.","https://www.rightmove.co.uk/properties/152244056#/?channel=COM_LET","2024-09-10T11:25:49Z","","size_change","Marketed by BNP Paribas Real Estate Advisory & Property Management UK Limited, West End Agency","","51.516532","-0.143954","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201602/152244056/201602_1262-2_IMG_27_0000_max_476x317.jpeg"
"169990574","Westminster","Office","6 Agar Street, London, WC2N","POA","","","","7,304–20,112 sq. ft.","7304","20112","679","1868","Newly refurbished grade A office space with private terraces available to let Newly refurbished grade A office space with private terraces available to let. The reception at 6 Agar Street has been comprehensively refurbished, with an inviting lounge area for an elevated welcome. The available s...","https://www.rightmove.co.uk/properties/169990574#/?channel=COM_LET","2025-12-04T11:24:18Z","","new","Marketed by Knight Frank, London Offices (West End) - Commercial","","51.5099","-0.124352","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169990574/155474_HUB2402038_IMG_06_0001_max_476x317.jpeg"
"169975778","Westminster","Office","5 Hanover Square  5 Hanover Square  LONDON  W1S 1HQ  United Kingdom","£45,834 pcm","","","","2,050 sq. ft.","2050","2050","190","190","Iconic Mayfair Building ? 2,050 sq Inclusive Rent Until May 2028","https://www.rightmove.co.uk/properties/169975778#/?channel=COM_LET","2025-12-03T19:30:17Z","","new","Marketed by Colliers International, London - Offices","","51.513345","-0.143829","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257504/169975778/257504_a031p00001JBg88AAD_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257504/169975778/257504_a031p00001JBg88AAD_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257504/169975778/257504_a031p00001JBg88AAD_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257504/169975778/257504_a031p00001JBg88AAD_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257504/169975778/257504_a031p00001JBg88AAD_IMG_03_0000_max_476x317.jpeg"
"169974176","Westminster","Office","7-8 Stratford Place, London, W1C 1AY","£9,100 pcm","From","","","1,020–1,190 sq. ft.","1020","1190","95","111","Two contrasting buildings come together to create a workspace that revolves around creativity and collaboration.","https://www.rightmove.co.uk/properties/169974176#/?channel=COM_LET","2025-12-03T17:57:40Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.515157","-0.149029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169974176/255620_345783-2_IMG_06_0000_max_476x317.jpeg"
"169971458","Westminster","Office","Liberty House, 222 Regent Street, London, W1B 5TR","£13,050 pcm","From","","","1,105–1,700 sq. ft.","1105","1700","103","158","Discover a vibrant way of working at Liberty House – a design-led workspace next to the world-famous Liberty London.","https://www.rightmove.co.uk/properties/169971458#/?channel=COM_LET","2025-12-03T16:57:33Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.513049","-0.140294","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169971458/255620_345773-2_IMG_07_0000_max_476x317.jpeg"
"169965146","Westminster","Office","Henry Wood House, 2 Riding House Street, London, W1W 7FA","£5,500 pcm","From","","","510–2,040 sq. ft.","510","2040","47","190","A hideaway from the hustle and bustle, Henry Wood House features a beautiful rooftop terrace with spectacular views.","https://www.rightmove.co.uk/properties/169965146#/?channel=COM_LET","2025-12-03T15:13:46Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.517655","-0.142629","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169965146/255620_345732-2_IMG_08_0000_max_476x317.jpeg"
"87364974","Westminster","Office","The Stanley Building, 179 Great Portland Street, London, W1W 5PL","£1,990 pcm","From","","","170–255 sq. ft.","170","255","16","24","Make yourself at home in a contemporary workspace that respects its Victorian heritage and champions eco-friendly solutions.","https://www.rightmove.co.uk/properties/87364974#/?channel=COM_LET","2025-12-01T10:30:39Z","","size_change","Marketed by Daniel Watney Commercial Agents, London","","51.522001","-0.143922","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cd96e17a9/87364974/cd96e17a98ca292b5ca30cb569486287_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f7b537792/87364974/f7b537792ef868e5d9f901871d77a212_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/26ef61bb0/87364974/26ef61bb0d4b83b7bdcbdb8b6040b015_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/20bda023c/87364974/20bda023c3095684855287ac57c288f7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/26d800f68/87364974/26d800f689c4ac582a3224c80e16537e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/51c2bce2a/87364974/51c2bce2aea19c02ea45973eef432317_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2de33caca/87364974/2de33cacaeadd0f062c91321407c98e1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8cb9f93bb/87364974/8cb9f93bb72594e38726a54ea33cb86c_max_476x317.jpeg"
