id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162748085","Wigan","Distribution Warehouse","Wigan 100, Walthew House Lane, Wigan, Greater Manchester, WN5","POA","","","","101,819 sq. ft.","101819","101819","9459","9459","New industrial / distribution unit under construction and perfectly located for business Available for occupation end of 2025 Wigan 100 is in an excellent strategic location for companies looking to relocate or expand their business. The local area is home to numerous industrial and logistics oc...","https://www.rightmove.co.uk/properties/162748085#/?channel=COM_LET","2025-06-02T17:33:28Z","","new","Marketed by Knight Frank, Manchester - Commercial","","53.550888","-2.682805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155513/162748085/155513_MCC012538195_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155513/162748085/155513_MCC012538195_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155513/162748085/155513_MCC012538195_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155513/162748085/155513_MCC012538195_IMG_03_0000_max_476x317.jpeg"
"169895684","Wigan","Office","Wrightington Street, Wigan","£750 pcm","","","","380 sq. ft.","380","380","35","35","Nestled on Wrightington Street in Wigan, this charming ground floor office space offers a generous 380 square feet of versatile working area. Ideal for small businesses or freelancers, this property comes with the added benefit of all bills included, ensuring a hassle-free experience for tenants....","https://www.rightmove.co.uk/properties/169895684#/?channel=COM_LET","2025-12-01T19:53:32Z","","new","Marketed by Fazakerley Sharpe, Wigan","","53.551258","-2.632865","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895684/253883_34335376_IMG_06_0000_max_476x317.jpeg"
"169895690","Wigan","Office","Wrightington Street, Wigan","£475 pcm","","","","260 sq. ft.","260","260","24","24","Nestled on Wrightington Street in Wigan, this charming first-floor office space offers an excellent opportunity for those seeking a commercial property in a prime location. Spanning 260 square feet, the office is well-suited for a variety of business needs, providing a comfortable and functional ...","https://www.rightmove.co.uk/properties/169895690#/?channel=COM_LET","2025-12-01T19:54:23Z","","new","Marketed by Fazakerley Sharpe, Wigan","","53.551258","-2.632865","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253883/169895690/253883_34335379_IMG_06_0000_max_476x317.jpeg"
"169885208","Wigan","Leisure Facility","13-15 Millgate , Wigan, WN1","£2,500 pcm","","","","969 sq. ft.","969","969","90","90","The property comprises an attractive pavement-fronting building that was originally arranged as two self-contained units and has most recently been operating and occupied as a single bar and restaurant premises. The units benefit from two separate entrance doors from Millgate. The building is a...","https://www.rightmove.co.uk/properties/169885208#/?channel=COM_LET","2025-12-01T15:38:57Z","","new","Marketed by Parkinson Real Estate, Wigan","","53.546368","-2.630628","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276764/169885208/276764_3543LH_IMG_14_0000_max_476x317.jpeg"
"169830551","Wigan","Office","Pier House, Wallgate, Wigan WN3 4AL","£175 pcm","","","","90–305 sq. ft.","90","305","8","28","INCLUSIVE OFFICES SUITES ON WIGAN PIER","https://www.rightmove.co.uk/properties/169830551#/?channel=COM_LET","2025-11-28T16:13:07Z","","size_change","Marketed by To Let, To Let Wigan","","53.54254","-2.63934","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/169830551/80128_G70619_IMG_15_0000_max_476x317.jpeg"
"721806133282928","Wigan","Distribution Warehouse","Land rear of station car park , Wigan, WN1 1BA","£580 pcm","","","","2,100 sq. ft.","2100","2100","195","195","A 2,100 sq ft large parcel of land suitable for storage located in Wigan, only a short 1 minute walk to Wigan Norton Western Train Station. ","https://www.rightmove.co.uk/properties/721806133282928#/?channel=COM_LET","2025-11-27T14:40:02Z","","new","Marketed by The Arch Company, London","","53.544953","-2.63521","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/721806133282928/272765_WGW07301_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/721806133282928/272765_WGW07301_IMG_01_0000_max_476x317.png"
"167894789","Wigan","Retail Property (high street)","Unit 1-3, Kay's Arcade, 60-62 Market Street, Wigan WN1 1HX","£700 pcm","","","","230 sq. ft.","230","230","21","21","INCLUSIVE RETAIL ON HIGH STREET","https://www.rightmove.co.uk/properties/167894789#/?channel=COM_LET","2025-10-07T10:14:33Z","","price_reduced","Marketed by To Let, To Let Wigan","","53.5477","-2.63368","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/167894789/80128_118620_IMG_11_0000_max_476x317.jpeg"
"166019153","Wigan","Retail Property (high street)","Hairdressers (Fully Fitted), Kay's Arcade, 60-62 Market Street, Wigan WN1 1HX","£750 pcm","","","","210 sq. ft.","210","210","20","20","Turnkey opportunity in a lovely Town Centre Arcade, just off the bus station. Fully fitted and ready to trade with two wash stations, two cutting stations, air conditioning, hot and cold water, roller shutters and tinted windows. • £750 PCM Rental with No VAT • Service Charge &...","https://www.rightmove.co.uk/properties/166019153#/?channel=COM_LET","2025-08-20T15:34:33Z","","price_reduced","Marketed by To Let, To Let Wigan","","53.5477","-2.63368","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_10_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80128/166019153/80128_118482_IMG_11_0002_max_476x317.jpeg"
"719240569602016","Wigan","Serviced Office","Westward House, King Street West, Wigan, WN1 1LP","POA","","","","50–638 sq. ft.","50","638","5","59","Serviced office spaces TO LET","https://www.rightmove.co.uk/properties/719240569602016#/?channel=COM_LET","2025-11-13T10:55:12Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","53.545178","-2.633508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240569602016/226952_291125-2_IMG_10_0000_max_476x317.jpeg"
"169691618","Wigan","Office","1 Smithy Court, Wigan, WN3","POA","","","","6,000 sq. ft.","6000","6000","557","557","Smithy Court is located on Pemberton Business Park, a high quality office development of 86,000 sqft, set in an attractive landscaped environment. No. 1 Smithy Court is a three storey office building extending to a total of 25,500 sqft (2,369.03 sq m). The current availability extends to up to 60...","https://www.rightmove.co.uk/properties/169691618#/?channel=COM_LET","2025-11-25T12:51:56Z","","new","Marketed by Parkinson Real Estate, Wigan","","53.528993","-2.661326","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3f6d6a5dc/169691618/3f6d6a5dc61039e8f2cc403e7bb2c5d7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fb7bc575c/169691618/fb7bc575ce195fc93a0d0c1be2c5f64c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7ac95c763/169691618/7ac95c7636fe7f3f5bf3914dbcc6f30d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/07de0dcbb/169691618/07de0dcbbc37de76e9c4cfb769480868_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a26c5f66e/169691618/a26c5f66e1ad0ccde3e4bee75e1c1a75_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8683f974f/169691618/8683f974f14586a1c7af68c1d43ffe7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/07754a17a/169691618/07754a17a3fcb272077235854d68ae66_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/960070e67/169691618/960070e67d694a2ada5dd59d77224b05_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/36bcb42b0/169691618/36bcb42b00498072d8ad75c836d96d99_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9328d8dd1/169691618/9328d8dd119fdb480a4cccf8213d3735_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8b51cf129/169691618/8b51cf129b004539e17d4639bc906214_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0b3ed0ba1/169691618/0b3ed0ba13ed4a44422db431fedc8a84_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3f8d5b0c8/169691618/3f8d5b0c8e85b56c0937cf53b6185d23_max_476x317.jpeg"
