id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"122052611","Wiltshire","Office","Long Street, Devizes, Wiltshire, SN10","£816 pcm","","","","** RENTAL INCENTIVE AVAILABLE***HIGH QUALITY, centrally located office with DEDICATED PARKING within Devizes.A well-established business centre that has been recently renovated to a high standard with modern IT and welfare facilities.Room size is 322 sq ft","https://www.rightmove.co.uk/properties/122052611#/?channel=COM_LET","2022-04-06T17:25:13Z","","size_change","Marketed by Continuum Property Management Limited, Devizes","","51.35071","-1.99355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247580/122052611/247580_LansdowneHouse_IMG_23_0000_max_476x317.jpeg"
"722868611308320","Wiltshire","Distribution Warehouse","Unit 2 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868611308320#/?channel=COM_LET","2025-12-03T11:49:06Z","","new","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821",""
"722868625770609","Wiltshire","Distribution Warehouse","Unit 4 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868625770609#/?channel=COM_LET","2025-12-03T11:49:07Z","","size_change","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868625770609/120988_217308-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868625770609/120988_217308-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868625770609/120988_217308-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868625770609/120988_217308-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868625770609/120988_217308-2_IMG_04_0000_max_476x317.jpeg"
"722868619478737","Wiltshire","Distribution Warehouse","Unit 3 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868619478737#/?channel=COM_LET","2025-12-03T11:49:04Z","","size_change","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868619478737/120988_217307-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868619478737/120988_217307-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868619478737/120988_217307-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868619478737/120988_217307-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868619478737/120988_217307-2_IMG_04_0000_max_476x317.jpeg"
"169924535","Wiltshire","Office","High Street, Marlborough","£350 pcm","","","1","Large attractive office in a fine Georgian Listed building off Marlborough High Street","https://www.rightmove.co.uk/properties/169924535#/?channel=COM_LET","2025-12-02T15:15:10Z","","price_reduced","Marketed by Birkmyre Property Consultants, Marlborough","","51.420942","-1.729931","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/169924535/91034_639_BIRK_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/169924535/91034_639_BIRK_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/169924535/91034_639_BIRK_IMG_02_0000_max_476x317.jpeg"
"161078516","Wiltshire","Office","23 The Parade, Marlborough, Wiltshire SN8 1NE","£500 pcm","","","1","Flexible fully serviced ground floor office 180 sq ft (2-3 desk) in period building close to the centre of town, includes 1 x car park space.","https://www.rightmove.co.uk/properties/161078516#/?channel=COM_LET","2025-04-24T14:25:26Z","","new","Marketed by Birkmyre Property Consultants, Marlborough","","51.420941","-1.728605","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91034/161078516/91034_592_BIRK_IMG_07_0000_max_476x317.jpeg"
"169893722","Wiltshire","Warehouse","Unit B2 Stirling Court, Stirling Way, South Marston Park, Swindon, SN3 4TQ","£19,625 pcm","","","","A Modern, Refurbished, Semi-Detached Industrial / Warehouse Unit Available To Let on South Marston Industrial Estate, close to J15 M4","https://www.rightmove.co.uk/properties/169893722#/?channel=COM_LET","2025-12-01T17:46:23Z","","new","Marketed by Hollis Hockley, Reading","","51.599874","-1.735621","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893722/297365_150600-2_IMG_08_0000_max_476x317.jpeg"
"169829474","Wiltshire","Office","Foxley, Malmesbury, Wiltshire, SN16","£1,250 pcm","","","","A traditional barn conversion office, finished to a high specification, set over two floors. Located on a popular rural business park close to Malmesbury. The office retains a wealth of char","https://www.rightmove.co.uk/properties/169829474#/?channel=COM_LET","2025-11-28T16:03:59Z","","new","Marketed by David James, Wotton-under-Edge","","51.573305","-2.140436","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216047/169829474/216047_MAG250108_L_IMG_10_0000_max_476x317.jpeg"
"169805453","Wiltshire","Retail Property (high street)","53 Market Place, Chippenham, Wiltshire, SN15 3HU","£1,417 pcm","","","","The property comprises a floor lock-up business (Class E) unit situated over ground, first and second floors. The property has rendered elevations under a pitched tiled roof and attractive retail frontage. The ground floor is open plan and broadly regular in shape, narrowing slightly to the rear....","https://www.rightmove.co.uk/properties/169805453#/?channel=COM_LET","2025-11-28T09:50:16Z","","new","Marketed by CSquared, Bath","","51.458412","-2.114472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169805453/174275_2517LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169805453/174275_2517LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169805453/174275_2517LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169805453/174275_2517LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169805453/174275_2517LH_IMG_04_0000_max_476x317.jpeg"
"721648431647232","Wiltshire","Distribution Warehouse","Unit and Land, Kivel Court, Salisbury, SP2 7AX","£420 pcm","","","","A secure piece of land suitable for storage, just off the A36 in Salisbury.","https://www.rightmove.co.uk/properties/721648431647232#/?channel=COM_LET","2025-11-26T17:47:02Z","","new","Marketed by The Arch Company, London","","51.07448","-1.79864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e5251c49b/721648431647232/e5251c49b0714ccc3034b22c6220fca1_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7e91e539/721648431647232/a7e91e53978122a2e2b7bae3e7191c7e_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/10084e355/721648431647232/10084e355ef000065bc4fd969e82b082_max_476x317.png"
