id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168474047","Wolverhampton","Retail Property (high street)","91-92 Darlington Street, Wolverhampton, West Midlands, WV1","£1,375 pcm","","","","1,018 sq. ft.","1018","1018","95","95","Prominent, double fronted ground floor retail premises","https://www.rightmove.co.uk/properties/168474047#/?channel=COM_LET","2025-10-22T11:04:25Z","","new","Marketed by Michael Tromans & Co, Wolverhampton","","52.58559","-2.13058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/168474047/295898_91-92_IMG_00_0000_max_476x317.jpeg"
"169993115","Wolverhampton","Light Industrial","Fordhouse Road, Wolverhampton, West Midlands, WV10 9DZ","POA","","","","19,980–40,808 sq. ft.","19980","40808","1856","3791","Location: Fordhouse Road is located less than 2 miles away from Wolverhampton city centre and sits 0.5 miles from the A449 (Wolverhampton to Stafford Road) dual carriageway which is the main thoroughfare into Wolverhampton City Centre. Motorway access is provided at Junction 2 of the M54 less th...","https://www.rightmove.co.uk/properties/169993115#/?channel=COM_LET","2025-12-04T12:01:17Z","","new","Marketed by Harris Lamb, Birmingham","","52.612015","-2.123302","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169993115/104813_6756LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169993115/104813_6756LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169993115/104813_6756LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169993115/104813_6756LH_IMG_03_0000_max_476x317.jpeg"
"169992767","Wolverhampton","Light Industrial","Vola , Springvale Avenue, Bilston, West Midlands, WV14 0UW","POA","","","","297,222 sq. ft.","297222","297222","27613","27613","Location: Bilston is a major distribution centre within the West Midlands conurbation, situated 2.5 miles south east of central Wolverhampton and 9.5 miles north west of Birmingham City Centre. As of the 2021 census, Bilston has a population of 35,840. The town has excellent connections via ro...","https://www.rightmove.co.uk/properties/169992767#/?channel=COM_LET","2025-12-04T11:56:24Z","","new","Marketed by Harris Lamb, Birmingham","","52.560753","-2.090066","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169992767/104813_7025LH_IMG_05_0000_max_476x317.jpeg"
"166939112","Wolverhampton","Heavy Industrial","Unit 2 - 7B, Monmore Business Park, Dixon Street, Wolverhampton","POA","","","","2,534–89,876 sq. ft.","2534","89876","235","8350","The property comprises seven warehouse/industrial bays of steel truss frame construction, with brick and blockwork elevations beneath pitched roofs with profile clad elevations incorporating translucent roof lights. Internally, the warehouse benefits from mezzanine floors and overhead cranes (unt...","https://www.rightmove.co.uk/properties/166939112#/?channel=COM_LET","2025-09-12T16:01:50Z","","size_change","Marketed by Bulleys Chartered Surveyors, Wolverhampton","","52.574231","-2.107207","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/166939112/281333_BWOL2044-LET_IMG_06_0000_max_476x317.jpeg"
"169820732","Wolverhampton","Light Industrial","Watery Lane Industrial Estate, Watery Lane, Willenhall, WV13 3SU","POA","","","","3,231–11,135 sq. ft.","3231","11135","300","1034","Location: Watery Lane Industrial Estate is an established estate in a key location with easy access to the M6 and M5 motorways. Description: Steel portal frame construction Brick and blockwork elevations Partially clad internally Pitched lined roofs/Insulated metal sheet roofs Block elevations...","https://www.rightmove.co.uk/properties/169820732#/?channel=COM_LET","2025-11-28T13:49:20Z","","new","Marketed by Harris Lamb, Birmingham","","52.589783","-2.074995","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169820732/104813_3988LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169820732/104813_3988LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169820732/104813_3988LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169820732/104813_3988LH_IMG_03_0000_max_476x317.jpeg"
"169809134","Wolverhampton","Retail Property (high street)","1 Cleveland Street, Wolverhampton, WV1 3HR","POA","","","","1,400–5,600 sq. ft.","1400","5600","130","520","The premises comprise of a large open planned retail space that can easily be subdivided into smaller units subject to terms being agreed. The development benefits from a service yard to the rear.","https://www.rightmove.co.uk/properties/169809134#/?channel=COM_LET","2025-11-28T10:57:12Z","","new","Marketed by Creative Retail, Birmingham","","52.582932","-2.129649","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169809134/191489_423LH_IMG_06_0000_max_476x317.jpeg"
"169783502","Wolverhampton","Shop","Byrne Road, Wolverhampton","£650 pcm","","","1","","","","",""," Location Soul Estates are pleased to present this ground floor premises located just off the Dudley Road, Blakenhall, Wolverhampton. The property is within a prominent shopping parade just a short distance from Wolverhampton City Centre, approx. 0.7 miles. Other retail occupiers within the v...","https://www.rightmove.co.uk/properties/169783502#/?channel=COM_LET","2025-11-27T14:19:18Z","","new","Marketed by Soul Estates, Tipton","","52.57191","-2.124642","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bfdddb11/169783502/4bfdddb11ac79fd78f2541961635a5c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eddc1a4ca/169783502/eddc1a4ca82ec54a6c1546cdd8e187bd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/73b8a28d8/169783502/73b8a28d8f307381e8706c4db108719a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c68f0eb5a/169783502/c68f0eb5a06ee128e0be7d1efee23e04_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c26585a89/169783502/c26585a891e4be37e1c2adfa460bf1eb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ca90eefbf/169783502/ca90eefbf8df4c8641531fc529465bfc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9d7139b07/169783502/9d7139b074d8740b1a63e52499cfba1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/35c1858b8/169783502/35c1858b8fa3d40475d276b4ab9ba514_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4a1b15434/169783502/4a1b15434e36370a5f14b6b84a2cc251_max_476x317.jpeg"
"169743002","Wolverhampton","Retail Property (high street)","Blackburn Avenue, Wolverhampton, West Midlands, WV6","£400 pcm","","","","","","","","","Small shop in popular location","https://www.rightmove.co.uk/properties/169743002#/?channel=COM_LET","2025-11-26T14:49:02Z","","new","Marketed by Michael Tromans & Co, Wolverhampton","","52.6092","-2.15221","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169743002/295898_Alfonzo4_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169743002/295898_Alfonzo4_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169743002/295898_Alfonzo4_IMG_02_0000_max_476x317.jpeg"
"169706951","Wolverhampton","Light Industrial","Fallings Park Industrial Estate, Park Lane, Wolverhampton, West Midlands, WV10","£917 pcm","","","","1,190 sq. ft.","1190","1190","111","111","Clean starter unit on modern industrial estate","https://www.rightmove.co.uk/properties/169706951#/?channel=COM_LET","2025-11-25T16:49:17Z","","new","Marketed by Michael Tromans & Co, Wolverhampton","","52.60026","-2.11069","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169706951/295898_Bart76_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169706951/295898_Bart76_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169706951/295898_Bart76_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295898/169706951/295898_Bart76_IMG_03_0000_max_476x317.jpeg"
"169681499","Wolverhampton","Light Industrial","Unit 35, Springvale Industrial Park, Bilston","£2,688 pcm","","","","3,768 sq. ft.","3768","3768","350","350","Unit 35 Springvale Industrial Park is situated on an established industrial estate on Union Street, Bilston. The unit is of steel portal frame construction, with brick/block elevations beneath a pitched lined roof incorporating translucent roof lights and having a concrete floor. Minimum eaves h...","https://www.rightmove.co.uk/properties/169681499#/?channel=COM_LET","2025-11-25T10:28:37Z","","new","Marketed by Bulleys Chartered Surveyors, Wolverhampton","","52.563013","-2.085073","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/169681499/281333_BWOL2077-LET_IMG_10_0000_max_476x317.jpeg"
