id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167031719","Wrexham","Light Industrial","Units B, Rhosddu Industrial Estate, Rhosrobin, WREXHAM, LL11 4YL","£1,625 pcm","","","","Modern Trade Counter / Warehouse unit 2,465 sq ft Leasehold - £19,500 per annum","https://www.rightmove.co.uk/properties/167031719#/?channel=COM_LET","2025-09-16T09:40:49Z","","new","Marketed by Legat Owen, Chester","","53.064995","-3.004995","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cffcdb90f/167031719/cffcdb90f6a2816236cd69f1187ade89_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ea6e6f8d9/167031719/ea6e6f8d98bcfc9f3a74db79bab78acc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fc1aa2386/167031719/fc1aa238692aa7df4442b7fec355e32e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c17a2e074/167031719/c17a2e07444ce6c5c2bf9f95304f08a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a047c9f8/167031719/5a047c9f84837f37f61f54d758523617_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ea6e6f8d9/167031719/ea6e6f8d98bcfc9f3a74db79bab78acc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b3d77a9f8/167031719/b3d77a9f875aa3782c5363bdca0dd08e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ccd00d1a/167031719/4ccd00d1a7b52871a091dae03d5bc104_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4ad5cc1f/167031719/f4ad5cc1f2e0bbe57794e0faf8c1aabd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c17a2e074/167031719/c17a2e07444ce6c5c2bf9f95304f08a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b3d77a9f8/167031719/b3d77a9f875aa3782c5363bdca0dd08e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ccd00d1a/167031719/4ccd00d1a7b52871a091dae03d5bc104_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4ad5cc1f/167031719/f4ad5cc1f2e0bbe57794e0faf8c1aabd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/186ccd400/167031719/186ccd40095cfe914c056dd56f1d4eb4_max_476x317.jpeg"
"169732049","Wrexham","Light Industrial","Unit 6, Puleston Industrial Estate, Ruabon Road , Wrexham, LL13 7RF","£1,000 pcm","","","","The property comprises a recently refurbished and prominent detached industrial unit of traditional steel portal frame construction with brick/block elevations beneath a brand-new pitched roof incorporating natural light panels. The property benefits from two roller shutter access doors, wc fac...","https://www.rightmove.co.uk/properties/169732049#/?channel=COM_LET","2025-11-26T11:38:06Z","","new","Marketed by BA COMMERCIAL, BA Commercial","","53.037304","-3.008481",""
"169646672","Wrexham","Office","Unit 3A, Rossett Business Village, Off Chester Road, Rossett, Wrexham, Wrexham LL12 0AY","£2,667 pcm","","","","Rossett Business Village comprises a combination of new and renovated buildings set around a courtyard. The properties are purpose designed to accommodate a variety of different sized businesses and are completely self-contained. Constructed to meet the latest building practices the interiors pro...","https://www.rightmove.co.uk/properties/169646672#/?channel=COM_LET","2025-11-24T11:58:14Z","","price_reduced","Marketed by BA COMMERCIAL, BA Commercial","","53.118469","-2.94253","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169646672/287543_1139LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169646672/287543_1139LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169646672/287543_1139LH_IMG_02_0000_max_476x317.jpeg"
"169554215","Wrexham","Commercial Property","West View, Wrexham","£1,200 pcm","","","","A versatile commercial unit (formerly used as a resturant/takeaway) located in the popular town of Chirk. The property offers a good trading opportunity for a variety of business uses with easy access on the A483 and A5. The property is available to be let as a whole or as two separate units upon...","https://www.rightmove.co.uk/properties/169554215#/?channel=COM_LET","2025-11-21T00:00:14Z","","price_reduced","Marketed by Bowen, Oswestry","","52.94038","-3.057614","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73373/169554215/73373_12512832_IMG_05_0000_max_476x317.jpeg"
"169209575","Wrexham","Commercial Property","Llay Industrial Estate, Llay, Wrexham","£1,667 pcm","","","","TO LET: A highly useful full-height modern Light Industrial Unit with accommodation comprising approximately 250 square metres (approximately 2660 square feet) of Workshop Space together with 20 square metres (215 square feet) of Office Space. The property occupies a level enclosed compound exte...","https://www.rightmove.co.uk/properties/169209575#/?channel=COM_LET","2025-11-11T09:26:52Z","","new","Marketed by Bowen, Wrexham","","53.100376","-3.010642","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73394/169209575/73394_12785365_IMG_09_0000_max_476x317.jpeg"
"169121363","Wrexham","Light Industrial","Unit 7, Maelor Works, Marchwiel, Wrexham LL13 0UA","£1,458 pcm","","","","Maelor Works is a self-contained industrial complex comprising of various industrial units/workshops and secure yard/compound areas ranging in size.","https://www.rightmove.co.uk/properties/169121363#/?channel=COM_LET","2025-11-07T14:04:09Z","","size_change","Marketed by BA COMMERCIAL, BA Commercial","","53.021774","-2.925556","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169121363/287543_864LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169121363/287543_864LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169121363/287543_864LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169121363/287543_864LH_IMG_03_0000_max_476x317.jpeg"
"163145798","Wrexham","Restaurant","Premises within Butchers Market, 10 High Street, Wrexham, LL13 8HP","£1,667 pcm","","","","Forge Property Consultants and Emanuel Oliver are offering the exciting opportunity to let a 235.1 sq.m (2,531 sq.ft) restaurant/café premises within Wrexham's Butchers Market at 10 High Street, Wrexham.","https://www.rightmove.co.uk/properties/163145798#/?channel=COM_LET","2025-06-11T11:34:16Z","","price_reduced","Marketed by FORGE PROPERTY CONSULTANTS LTD, North Wales Office","","53.04519","-2.99248","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263744/163145798/263744_ButchersMarketWrexham_IMG_06_0000_max_476x317.jpeg"
"167031182","Wrexham","Light Industrial","Bersham Enterprise Centre, Plas Grono Road, Rhostyllen, Wrexham, Wrexham, LL14 4EG","£1,500 pcm","","","","Modern industrial estate comprising 17 industrial units. F17 - 2,000 sq ft - £1,500 per month","https://www.rightmove.co.uk/properties/167031182#/?channel=COM_LET","2025-09-16T09:36:32Z","","size_change","Marketed by Legat Owen, Chester","","53.027333","-3.023317","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031182/262844_8923LH_IMG_06_0000_max_476x317.jpeg"
"162651803","Wrexham","Office","Llyndir Lane, LL12","£800 pcm","","","","PINEWOOD ESTATE AGENCY are delighted to present to you this OFFICE SPACE TO LET, located in Rossett Business Village. ","https://www.rightmove.co.uk/properties/162651803#/?channel=COM_LET","2025-05-30T16:21:08Z","","price_reduced","Marketed by Pinewood Estate Agency, Deeside","","53.11841","-2.94262","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76319/162651803/76319_RossettOffice5_IMG_11_0000_max_476x317.jpeg"
"168056510","Wrexham","Warehouse","Wrexham Point, Clywedog Road North, Wrexham Industrial Estate, Wrexham, LL13 9XN","POA","","","","Industrial / Warehouse To Let, Wrexham","https://www.rightmove.co.uk/properties/168056510#/?channel=COM_LET","2025-10-09T21:24:35Z","","size_change","Marketed by B8 Real Estate LLP, Warrington","","53.040365","-2.935454","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168056510/102728_331901-2_IMG_05_0000_max_476x317.jpeg"
